Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Année édition
1,Antonio Adán,es ESP,GK,Sporting CP,35,1987,5,5,382,4.2,5,1.18,21,16,81.0,2,1,2,2,40.0,1,1,0,0,0.0,Matches,2023
2,Alisson,br BRA,GK,Liverpool,29,1992,8,8,720,8.0,12,1.50,28,15,60.7,5,0,3,3,37.5,2,1,1,0,50.0,Matches,2023
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,9,9,810,9.0,8,0.89,35,27,77.1,4,1,4,3,33.3,0,0,0,0,,Matches,2023
4,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,6,5,528,5.9,11,1.87,31,20,71.0,3,1,1,2,40.0,2,2,0,0,0.0,Matches,2023
5,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,4,4,360,4.0,12,3.00,26,14,53.8,0,1,3,0,0.0,0,0,0,0,,Matches,2023
6,Josh Cohen,us USA,GK,Maccabi Haifa,29,1992,6,6,540,6.0,21,3.50,42,22,50.0,1,0,5,1,16.7,0,0,0,0,,Matches,2023
7,Diogo Costa,pt POR,GK,Porto,22,1999,8,8,720,8.0,8,1.00,38,28,81.6,4,1,3,4,50.0,4,1,3,0,75.0,Matches,2023
8,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,10,10,900,10.0,11,1.10,53,41,79.2,7,1,2,5,50.0,1,0,1,0,100.0,Matches,2023
9,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,2,2,180,2.0,0,0.00,4,4,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,2023
10,Gianluigi Donnarumma,it ITA,GK,Paris S-G,23,1999,8,8,720,8.0,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0,Matches,2023
11,Ederson,br BRA,GK,Manchester City,28,1993,11,11,990,11.0,4,0.36,31,27,90.3,7,4,0,7,63.6,1,1,0,0,0.0,Matches,2023
12,Fraser Forster,eng ENG,GK,Tottenham,34,1988,2,2,180,2.0,1,0.50,7,6,85.7,0,1,1,1,50.0,0,0,0,0,,Matches,2023
13,Kamil Grabara,pl POL,GK,FC Copenhagen,23,1999,4,4,360,4.0,9,2.25,32,23,75.0,0,2,2,1,25.0,2,1,1,0,50.0,Matches,2023
14,Ivo Grbić,hr CRO,GK,Atlético Madrid,26,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,2023
15,Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,3,3,192,2.1,6,2.81,8,2,25.0,1,0,2,0,0.0,0,0,0,0,,Matches,2023
16,Joe Hart,eng ENG,GK,Celtic,35,1987,6,6,540,6.0,15,2.50,31,16,58.1,0,2,4,0,0.0,2,2,0,0,0.0,Matches,2023
17,Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,6,6,540,6.0,8,1.33,24,15,75.0,1,2,3,2,33.3,3,2,1,0,33.3,Matches,2023
18,Franco Israel,uy URU,GK,Sporting CP,22,2000,2,1,155,1.7,4,2.32,8,4,62.5,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2023
19,Gregor Kobel,ch SUI,GK,Dortmund,24,1997,4,4,315,3.5,2,0.57,19,16,89.5,1,3,0,2,50.0,1,0,1,0,100.0,Matches,2023
20,Philipp Köhn,ch SUI,GK,RB Salzburg,24,1998,6,6,540,6.0,9,1.50,30,21,70.0,1,3,2,1,16.7,0,0,0,0,,Matches,2023
21,Dominik Livaković,hr CRO,GK,Dinamo Zagreb,27,1995,6,6,540,6.0,11,1.83,35,25,77.1,1,1,4,1,16.7,3,3,0,0,0.0,Matches,2023
22,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,6,6,540,6.0,6,1.00,23,17,73.9,3,2,1,2,33.3,0,0,0,0,,Matches,2023
23,Pau López,es ESP,GK,Marseille,27,1994,6,6,540,6.0,8,1.33,20,12,60.0,2,0,4,1,16.7,0,0,0,0,,Matches,2023
24,Andriy Lunin,ua UKR,GK,Real Madrid,23,1999,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,,Matches,2023
25,Mike Maignan,fr FRA,GK,Milan,27,1995,7,7,630,7.0,6,0.86,27,20,77.8,2,3,2,2,28.6,1,0,1,0,100.0,Matches,2023
26,Allan McGregor,sct SCO,GK,Rangers,40,1982,5,5,450,5.0,18,3.60,42,23,61.9,0,0,5,0,0.0,3,2,1,0,33.3,Matches,2023
27,Jon McLaughlin,sct SCO,GK,Rangers,34,1987,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches,2023
28,Edouard Mendy,sn SEN,GK,Chelsea,30,1992,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,2023
29,Alex Meret,it ITA,GK,Napoli,25,1997,10,10,900,10.0,8,0.80,30,21,76.7,7,1,2,4,40.0,2,1,1,0,50.0,Matches,2023
30,Alexander Meyer,de GER,GK,Dortmund,31,1991,5,4,405,4.5,5,1.11,17,12,76.5,2,0,2,1,25.0,1,1,0,0,0.0,Matches,2023
31,Simon Mignolet,be BEL,GK,Club Brugge,34,1988,8,8,720,8.0,11,1.37,45,34,80.0,3,2,3,5,62.5,3,2,0,1,0.0,Matches,2023
32,Manuel Neuer,de GER,GK,Bayern Munich,36,1986,3,3,270,3.0,0,0.00,9,9,100.0,3,0,0,3,100.0,0,0,0,0,,Matches,2023
33,Jan Oblak,si SVN,GK,Atlético Madrid,29,1993,5,5,450,5.0,7,1.40,22,15,72.7,1,2,2,1,20.0,1,1,0,0,0.0,Matches,2023
34,André Onana,cm CMR,GK,Inter,26,1996,13,13,"1,170",13.0,11,0.85,57,47,80.7,7,3,3,8,61.5,0,0,0,0,,Matches,2023
35,Stefan Ortega,de GER,GK,Manchester City,29,1992,2,2,180,2.0,1,0.50,6,5,83.3,1,1,0,1,50.0,0,0,0,0,,Matches,2023
36,Remko Pasveer,nl NED,GK,Ajax,38,1983,6,6,540,6.0,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,0.0,Matches,2023
37,Iñaki Peña ,es ESP,GK,Barcelona,23,1999,1,1,90,1.0,2,2.00,8,6,87.5,1,0,0,0,0.0,1,1,0,0,0.0,Matches,2023
38,Mattia Perin,it ITA,GK,Juventus,29,1992,2,2,180,2.0,4,2.00,13,9,76.9,0,0,2,0,0.0,1,1,0,0,0.0,Matches,2023
39,Mathew Ryan,au AUS,GK,FC Copenhagen,30,1992,2,2,180,2.0,3,1.50,6,3,50.0,0,1,1,1,50.0,0,0,0,0,,Matches,2023
40,Yann Sommer,ch SUI,GK,Bayern Munich,33,1988,4,4,360,4.0,4,1.00,17,13,76.5,2,1,1,2,50.0,1,0,0,1,,Matches,2023
41,Jindřich Staněk,cz CZE,GK,Viktoria Plzeň,26,1996,5,5,450,5.0,19,3.80,42,23,54.8,0,0,5,0,0.0,0,0,0,0,,Matches,2023
42,Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,4,4,360,4.0,9,2.25,19,10,57.9,1,0,3,0,0.0,1,1,0,0,0.0,Matches,2023
43,Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,5,5,450,5.0,5,1.00,25,20,84.0,3,0,2,3,60.0,1,1,0,0,0.0,Matches,2023
44,Marc-André ter Stegen,de GER,GK,Barcelona,30,1992,5,5,450,5.0,10,2.00,22,12,54.5,1,1,3,0,0.0,0,0,0,0,,Matches,2023
45,Kevin Trapp,de GER,GK,Eint Frankfurt,32,1990,8,8,720,8.0,13,1.62,41,27,73.2,3,1,4,2,25.0,4,2,1,1,33.3,Matches,2023
46,Anatolii Trubin,ua UKR,GK,Shakhtar,20,2001,6,6,540,6.0,10,1.67,38,30,73.7,1,3,2,0,0.0,0,0,0,0,,Matches,2023
47,Marián Tvrdoň,sk SVK,GK,Viktoria Plzeň,27,1994,1,1,90,1.0,5,5.00,13,8,61.5,0,0,1,0,0.0,0,0,0,0,,Matches,2023
48,Sven Ulreich,de GER,GK,Bayern Munich,33,1988,3,3,270,3.0,2,0.67,10,8,80.0,3,0,0,2,66.7,0,0,0,0,,Matches,2023
49,Odisseas Vlachodimos,gr GRE,GK,Benfica,28,1994,10,10,900,10.0,13,1.30,31,18,67.7,6,3,1,2,20.0,3,3,0,0,0.0,Matches,2023
1,Antonio Adán,es ESP,GK,Sporting CP,34,1987,7,7,630,7.0,13,1.86,29,16,55.2,3,1,3,2,28.6,0,0,0,0,,Matches,2022
2,Alisson,br BRA,GK,Liverpool,28,1992,13,13,"1,170",13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,,Matches,2022
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches,2022
4,Giorgos Athanasiadis,gr GRE,GK,Sheriff Tiraspol,28,1993,5,5,450,5.0,8,1.60,35,27,80.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches,2022
5,David von Ballmoos,ch SUI,GK,Young Boys,26,1994,3,3,270,3.0,6,2.00,15,9,60.0,1,0,2,0,0.0,0,0,0,0,,Matches,2022
6,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,6,6,540,6.0,5,0.83,19,14,84.2,1,3,2,2,33.3,4,2,0,2,0.0,Matches,2022
7,Denys Boyko,ua UKR,GK,Dynamo Kyiv,33,1988,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,2022
8,Heorhiy Bushchan,ua UKR,GK,Dynamo Kyiv,27,1994,5,5,450,5.0,11,2.20,24,13,58.3,0,0,5,0,0.0,1,1,0,0,0.0,Matches,2022
9,Scott Carson,eng ENG,GK,Manchester City,35,1985,1,0,18,0.2,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,2022
10,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,5,5,450,5.0,8,1.60,26,18,73.1,1,2,2,1,20.0,1,1,0,0,0.0,Matches,2022
11,Dumitru Celeadnic,md MDA,GK,Sheriff Tiraspol,29,1992,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,Matches,2022
12,Diogo Costa,pt POR,GK,Porto,21,1999,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,,Matches,2022
13,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,13,13,"1,230",13.7,14,1.02,72,57,80.6,9,0,4,5,38.5,1,0,1,0,100.0,Matches,2022
14,Johan Dahlin,se SWE,GK,Malmö,34,1986,4,4,315,3.5,8,2.29,26,17,76.9,0,1,3,0,0.0,3,2,1,0,33.3,Matches,2022
15,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,20,2001,5,5,450,5.0,17,3.40,37,20,62.2,0,0,5,0,0.0,3,3,0,0,0.0,Matches,2022
16,Ismael Diawara,ml MLI,GK,Malmö,26,1994,3,2,225,2.5,6,2.40,18,12,77.8,0,0,2,0,0.0,2,2,0,0,0.0,Matches,2022
17,Gianluigi Donnarumma,it ITA,GK,Paris S-G,22,1999,5,5,450,5.0,6,1.20,25,18,80.0,3,1,1,2,40.0,2,1,1,0,50.0,Matches,2022
18,Ederson,br BRA,GK,Manchester City,27,1993,11,11,"1,002",11.1,14,1.26,28,15,57.1,7,2,2,3,27.3,2,2,0,0,0.0,Matches,2022
19,Guillaume Faivre,ch SUI,GK,Young Boys,34,1987,3,3,270,3.0,6,2.00,17,11,64.7,0,2,1,0,0.0,0,0,0,0,,Matches,2022
20,David de Gea,es ESP,GK,Manchester Utd,30,1990,7,7,630,7.0,9,1.29,29,20,69.0,3,2,2,1,14.3,0,0,0,0,,Matches,2022
21,Ivo Grbić,hr CRO,GK,Lille,25,1996,6,6,540,6.0,4,0.67,16,12,87.5,3,2,1,3,50.0,2,2,0,0,0.0,Matches,2022
22,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,5,5,450,5.0,14,2.80,24,11,50.0,1,1,3,0,0.0,3,2,0,1,0.0,Matches,2022
23,Mert Günok,tr TUR,GK,Beşiktaş,32,1989,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,2022
24,Samir Handanović,si SVN,GK,Inter,37,1984,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,,Matches,2022
25,Tom Heaton,eng ENG,GK,Manchester Utd,35,1986,1,0,23,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,2022
26,Dean Henderson,eng ENG,GK,Manchester Utd,24,1997,1,1,67,0.7,1,1.34,4,3,75.0,,1,,,,,,,,,Matches,2022
27,Léo Jardim,br BRA,GK,Lille,26,1995,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches,2022
28,Mikhail Kerzhakov,ru RUS,GK,Zenit,34,1987,2,2,180,2.0,4,2.00,9,5,55.6,0,2,0,0,0.0,0,0,0,0,,Matches,2022
29,Gregor Kobel,ch SUI,GK,Dortmund,23,1997,6,6,540,6.0,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,100.0,Matches,2022
30,Philipp Köhn,ch SUI,GK,RB Salzburg,23,1998,8,8,720,8.0,14,1.75,30,16,63.3,3,2,3,1,12.5,3,3,0,0,0.0,Matches,2022
31,Stanislav Kritsyuk,ru RUS,GK,Zenit,30,1990,4,4,360,4.0,6,1.50,17,11,70.6,1,0,3,1,25.0,1,1,0,0,0.0,Matches,2022
32,Mike Maignan,fr FRA,GK,Milan,26,1995,3,3,270,3.0,7,2.33,20,13,70.0,0,0,3,0,0.0,2,1,1,0,50.0,Matches,2022
33,Josep Martinez,es ESP,GK,RB Leipzig,23,1998,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2022
34,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,9,9,840,9.3,7,0.75,16,9,62.5,7,0,2,5,55.6,1,1,0,0,0.0,Matches,2022
35,Simon Mignolet,be BEL,GK,Club Brugge,33,1988,6,6,540,6.0,20,3.33,47,27,63.8,1,1,4,0,0.0,3,3,0,0,0.0,Matches,2022
36,Juan Musso,ar ARG,GK,Atalanta,27,1994,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,,Matches,2022
37,Keylor Navas,cr CRC,GK,Paris S-G,34,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,0,0,0,0,,Matches,2022
38,Manuel Neuer,de GER,GK,Bayern Munich,35,1986,9,9,810,9.0,6,0.67,20,14,70.0,7,1,1,4,44.4,0,0,0,0,,Matches,2022
39,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,10,10,900,10.0,10,1.00,36,26,77.8,3,3,4,3,30.0,2,2,0,0,0.0,Matches,2022
40,André Onana,cm CMR,GK,Ajax,25,1996,2,2,180,2.0,2,1.00,4,2,75.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches,2022
41,Remko Pasveer,nl NED,GK,Ajax,37,1983,6,6,540,6.0,6,1.00,18,13,72.2,5,1,0,2,33.3,1,1,0,0,0.0,Matches,2022
42,Mattia Perin,it ITA,GK,Juventus,28,1992,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2022
43,Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches,2022
44,Andriy Pyatov,ua UKR,GK,Shakhtar,37,1984,3,3,265,2.9,2,0.68,8,6,75.0,0,2,1,1,33.3,0,0,0,0,,Matches,2022
45,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,12,12,"1,080",12.0,16,1.33,55,40,70.9,5,3,4,3,25.0,0,0,0,0,,Matches,2022
46,Oleksiy Shevchenko,ua UKR,GK,Shakhtar,29,1992,1,0,5,0.1,1,18.00,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,2022
47,Zack Steffen,us USA,GK,Manchester City,26,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,2022
48,Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,7,7,630,7.0,10,1.43,22,13,63.6,4,1,2,3,42.9,2,2,0,0,0.0,Matches,2022
49,Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,3,3,270,3.0,2,0.67,9,7,77.8,1,1,1,1,33.3,0,0,0,0,,Matches,2022
50,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,6,6,540,6.0,9,1.50,25,16,68.0,2,1,3,3,50.0,1,1,0,0,0.0,Matches,2022
51,Anatolii Trubin,ua UKR,GK,Shakhtar,19,2001,3,3,270,3.0,9,3.00,25,17,64.0,0,0,3,0,0.0,0,0,0,0,,Matches,2022
52,Sven Ulreich,de GER,GK,Bayern Munich,32,1988,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,2022
53,João Virgínia,pt POR,GK,Sporting CP,21,1999,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2022
54,Odisseas Vlachodimos,gr GRE,GK,Benfica,27,1994,10,10,900,10.0,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0,Matches,2022
1,Adrián,es ESP,GK,Liverpool,33,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2021
2,Alisson,br BRA,GK,Liverpool,27,1992,7,7,630,7.0,5,0.71,24,19,79.2,4,1,2,5,71.4,0,0,0,0,,Matches,2021
3,Mikkel Andersen,dk DEN,GK,Midtjylland,31,1988,2,2,180,2.0,4,2.00,6,2,50.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches,2021
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,2021
5,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,5,5,450,5.0,6,1.20,22,16,81.8,2,2,1,2,40.0,2,2,0,0,0.0,Matches,2021
6,Denys Boyko,ua UKR,GK,Dynamo Kyiv,32,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,2021
7,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,1,1,90,1.0,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2021
8,Roman Bürki,ch SUI,GK,Dortmund,29,1990,4,4,360,4.0,1,0.25,10,9,100.0,3,1,0,3,75.0,1,1,0,0,0.0,Matches,2021
9,Heorhiy Bushchan,ua UKR,GK,Dynamo Kyiv,26,1994,4,4,360,4.0,9,2.25,22,13,63.6,1,0,3,1,25.0,1,1,0,0,0.0,Matches,2021
10,Diogo Costa,pt POR,GK,Porto,20,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2021
11,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,12,12,"1,080",12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,,Matches,2021
12,Dénes Dibusz,hu HUN,GK,Ferencváros,29,1990,6,6,540,6.0,17,2.83,36,20,61.1,0,1,5,0,0.0,3,3,0,0,0.0,Matches,2021
13,Ederson,br BRA,GK,Manchester City,26,1993,12,12,"1,080",12.0,5,0.42,22,17,77.3,10,1,1,7,58.3,0,0,0,0,,Matches,2021
14,David de Gea,es ESP,GK,Manchester Utd,29,1990,5,5,450,5.0,8,1.60,21,14,61.9,3,0,2,1,20.0,0,0,0,0,,Matches,2021
15,Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,3,3,270,3.0,1,0.33,6,5,83.3,2,0,1,2,66.7,0,0,0,0,,Matches,2021
16,Alfred Gomis,sn SEN,GK,Rennes,26,1993,4,4,360,4.0,7,1.75,21,14,76.2,0,1,3,0,0.0,2,2,0,0,0.0,Matches,2021
17,Yevgeni Gorodov,ru RUS,GK,Krasnodar,34,1985,2,2,180,2.0,3,1.50,13,10,84.6,0,1,1,0,0.0,1,1,0,0,0.0,Matches,2021
18,Péter Gulácsi,hu HUN,GK,RB Leipzig,30,1990,8,8,720,8.0,16,2.00,37,21,64.9,4,0,4,1,12.5,4,3,1,0,25.0,Matches,2021
19,Mert Günok,tr TUR,GK,Başakşehir,31,1989,6,6,540,6.0,18,3.00,36,18,55.6,1,0,5,0,0.0,2,2,0,0,0.0,Matches,2021
20,Samir Handanović,si SVN,GK,Inter,36,1984,6,6,540,6.0,9,1.50,23,15,69.6,1,3,2,2,33.3,2,2,0,0,0.0,Matches,2021
21,Jesper Hansen,dk DEN,GK,Midtjylland,35,1985,4,4,360,4.0,9,2.25,30,21,70.0,0,2,2,0,0.0,0,0,0,0,,Matches,2021
22,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,2021
23,Marwin Hitz,ch SUI,GK,Dortmund,32,1987,6,6,540,6.0,12,2.00,30,19,66.7,2,1,3,0,0.0,2,2,0,0,0.0,Matches,2021
24,Ethan Horvath,us USA,GK,Club Brugge,25,1995,1,1,90,1.0,1,1.00,3,3,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,2021
25,Caoimhín Kelleher,ie IRL,GK,Liverpool,21,1998,2,2,180,2.0,1,0.50,10,9,100.0,1,1,0,1,50.0,1,1,0,0,0.0,Matches,2021
26,Mikhail Kerzhakov,ru RUS,GK,Zenit,33,1987,6,6,540,6.0,13,2.17,28,15,64.3,0,1,5,0,0.0,3,3,0,0,0.0,Matches,2021
27,Steve Mandanda,fr FRA,GK,Marseille,35,1985,6,6,540,6.0,13,2.17,25,13,56.0,1,0,5,0,0.0,2,2,0,0,0.0,Matches,2021
28,Agustín Marchesín,ar ARG,GK,Porto,32,1988,9,9,840,9.3,9,0.96,38,29,78.9,5,1,3,5,55.6,2,1,0,1,0.0,Matches,2021
29,Guilherme Marinato,ru RUS,GK,Loko Moscow,34,1985,6,6,540,6.0,10,1.67,35,25,71.4,0,3,3,1,16.7,0,0,0,0,,Matches,2021
30,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,12,12,"1,080",12.0,3,0.25,34,31,91.2,9,2,1,9,75.0,0,0,0,0,,Matches,2021
31,Simon Mignolet,be BEL,GK,Club Brugge,32,1988,5,5,450,5.0,9,1.80,25,16,68.0,1,2,2,1,20.0,1,1,0,0,0.0,Matches,2021
32,Keylor Navas,cr CRC,GK,Paris S-G,33,1986,12,12,"1,080",12.0,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,0.0,Matches,2021
33,Ruslan Neshcheret,ua UKR,GK,Dynamo Kyiv,18,2002,1,1,90,1.0,2,2.00,14,12,92.9,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2021
34,Neto,br BRA,GK,Barcelona,31,1989,3,3,270,3.0,1,0.33,4,3,100.0,3,0,0,2,66.7,1,1,0,0,0.0,Matches,2021
35,Manuel Neuer,de GER,GK,Bayern Munich,34,1986,8,8,720,8.0,8,1.00,43,35,81.4,7,0,1,3,37.5,0,0,0,0,,Matches,2021
36,Alexander Nübel,de GER,GK,Bayern Munich,23,1996,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,,Matches,2021
37,Jan Oblak,si SVN,GK,Atlético Madrid,27,1993,8,8,720,8.0,11,1.37,24,14,62.5,2,3,3,2,25.0,2,2,0,0,0.0,Matches,2021
38,André Onana,cm CMR,GK,Ajax,24,1996,6,6,540,6.0,7,1.17,28,22,78.6,2,1,3,0,0.0,1,1,0,0,0.0,Matches,2021
39,Alfonso Pastor,es ESP,GK,Sevilla,19,2000,1,1,90,1.0,4,4.00,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2021
40,Andriy Pyatov,ua UKR,GK,Shakhtar,36,1984,1,1,90,1.0,4,4.00,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2021
41,Pepe Reina,es ESP,GK,Lazio,37,1982,7,7,630,7.0,12,1.71,28,17,64.3,1,4,2,0,0.0,2,2,0,0,0.0,Matches,2021
42,José Sá,pt POR,GK,Olympiacos,27,1993,6,6,540,6.0,10,1.67,34,24,79.4,1,0,5,1,16.7,3,3,0,0,0.0,Matches,2021
43,Matvei Safonov,ru RUS,GK,Krasnodar,21,1999,4,4,360,4.0,8,2.00,30,22,80.0,1,1,2,1,25.0,3,2,0,1,0.0,Matches,2021
44,Romain Salin,fr FRA,GK,Rennes,36,1984,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches,2021
45,Yann Sommer,ch SUI,GK,M'Gladbach,31,1988,8,8,720,8.0,13,1.62,35,22,62.9,2,2,4,2,25.0,0,0,0,0,,Matches,2021
46,Marco Sportiello,it ITA,GK,Atalanta,28,1992,5,5,450,5.0,11,2.20,32,21,71.9,1,2,2,1,20.0,2,2,0,0,0.0,Matches,2021
47,Cican Stankovic,at AUT,GK,RB Salzburg,27,1992,6,6,540,6.0,17,2.83,32,16,53.1,1,1,4,0,0.0,2,2,0,0,0.0,Matches,2021
48,Zack Steffen,us USA,GK,Manchester City,25,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2021
