Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Année édition
49,Thomas Strakosha,al ALB,GK,Lazio,25,1995,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches,2021
50,Wojciech Szczęsny,pl POL,GK,Juventus,30,1990,7,7,660,7.3,8,1.09,28,20,78.6,5,0,2,2,28.6,2,2,0,0,0.0,Matches,2021
51,Marc-André ter Stegen,de GER,GK,Barcelona,28,1992,5,5,450,5.0,9,1.80,25,16,76.0,2,1,2,1,20.0,3,3,0,0,0.0,Matches,2021
52,Anatolii Trubin,ua UKR,GK,Shakhtar,18,2001,5,5,450,5.0,8,1.60,31,24,74.2,2,2,1,3,60.0,0,0,0,0,,Matches,2021
53,Tomáš Vaclík,cz CZE,GK,Sevilla,31,1989,2,2,180,2.0,3,1.50,6,3,66.7,2,0,0,0,0.0,1,1,0,0,0.0,Matches,2021
1,Adrián,es ESP,GK,Liverpool,32,1987,3,3,300,3.3,8,2.40,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches,2020
2,Alisson,br BRA,GK,Liverpool,26,1992,5,5,450,5.0,4,0.80,17,13,76.5,3,1,1,1,20.0,0,0,0,0,,Matches,2020
3,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,2,1,135,1.5,1,0.67,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,2020
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,6,6,540,6.0,9,1.50,20,12,55.0,3,2,1,1,16.7,1,0,1,0,100.0,Matches,2020
5,Milan Borjan,ca CAN,GK,Red Star,31,1987,6,6,540,6.0,20,3.33,53,33,66.0,1,0,5,0,0.0,2,2,0,0,0.0,Matches,2020
6,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,2,1,125,1.4,2,1.44,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches,2020
7,Gianluigi Buffon,it ITA,GK,Juventus,41,1978,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2020
8,Roman Bürki,ch SUI,GK,Dortmund,28,1990,8,8,720,8.0,11,1.37,37,25,70.3,4,1,3,2,25.0,1,0,1,0,100.0,Matches,2020
9,Willy Caballero,ar ARG,GK,Chelsea,37,1981,2,2,180,2.0,7,3.50,13,6,53.8,0,0,2,0,0.0,1,1,0,0,0.0,Matches,2020
10,Jasper Cillessen,nl NED,GK,Valencia,30,1989,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,1,16.7,3,2,0,1,0.0,Matches,2020
11,Carlos Coronel,py PAR,GK,RB Salzburg,22,1996,3,2,238,2.6,4,1.51,11,7,63.6,1,1,0,0,0.0,0,0,0,0,,Matches,2020
12,Gaëtan Coucke,be BEL,GK,Genk,20,1998,5,5,450,5.0,16,3.20,36,20,55.6,0,1,4,1,20.0,0,0,0,0,,Matches,2020
13,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,7,7,585,6.5,11,1.69,31,20,67.7,2,2,3,2,28.6,1,1,0,0,0.0,Matches,2020
14,Jaume Doménech,es ESP,GK,Valencia,28,1990,2,2,180,2.0,4,2.00,7,3,42.9,1,0,1,1,50.0,0,0,0,0,,Matches,2020
15,Ederson,br BRA,GK,Manchester City,25,1993,8,8,675,7.5,7,0.93,23,16,73.9,5,2,1,2,25.0,1,1,0,0,0.0,Matches,2020
16,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,4,4,360,4.0,5,1.25,22,17,77.3,3,0,1,2,50.0,0,0,0,0,,Matches,2020
17,Pierluigi Gollini,it ITA,GK,Atalanta,24,1995,7,7,630,7.0,13,1.86,33,20,63.6,3,1,3,2,28.6,2,1,0,1,0.0,Matches,2020
18,Péter Gulácsi,hu HUN,GK,RB Leipzig,29,1990,10,10,873,9.7,12,1.24,44,32,75.0,6,2,2,3,30.0,1,1,0,0,0.0,Matches,2020
19,Samir Handanović,si SVN,GK,Inter,35,1984,6,6,540,6.0,9,1.50,30,21,73.3,2,1,3,1,16.7,1,1,0,0,0.0,Matches,2020
20,Lukáš Hrádecký,fi FIN,GK,Leverkusen,29,1989,6,6,540,6.0,9,1.50,28,19,67.9,2,0,4,1,16.7,0,0,0,0,,Matches,2020
21,Léo Jardim,br BRA,GK,Lille,24,1995,1,0,19,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,2020
22,Mikhail Kerzhakov,ru RUS,GK,Zenit,32,1987,4,4,360,4.0,7,1.75,24,18,75.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches,2020
23,Anton Kochenkov,kg KGZ,GK,Loko Moscow,32,1987,1,1,90,1.0,2,2.00,6,3,83.3,0,0,1,0,0.0,2,1,1,0,50.0,Matches,2020
24,Ondřej Kolář,cz CZE,GK,Slavia Prague,24,1994,6,6,540,6.0,10,1.67,35,26,71.4,0,2,4,1,16.7,0,0,0,0,,Matches,2020
25,Dominik Livaković,hr CRO,GK,Dinamo Zagreb,24,1995,6,6,540,6.0,13,2.17,35,22,68.6,1,2,3,1,16.7,2,2,0,0,0.0,Matches,2020
26,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,4,4,360,4.0,13,3.25,25,12,56.0,0,1,3,0,0.0,2,2,0,0,0.0,Matches,2020
27,Anthony Lopes,pt POR,GK,Lyon,28,1990,10,10,900,10.0,14,1.40,38,24,71.1,4,2,4,2,20.0,3,3,0,0,0.0,Matches,2020
28,Andrey Lunyov,ru RUS,GK,Zenit,27,1991,2,2,180,2.0,2,1.00,14,12,92.9,1,1,0,0,0.0,1,1,0,0,0.0,Matches,2020
29,Mike Maignan,fr FRA,GK,Lille,24,1995,6,6,521,5.8,14,2.42,31,18,58.1,0,1,5,0,0.0,1,1,0,0,0.0,Matches,2020
30,Guilherme Marinato,ru RUS,GK,Loko Moscow,33,1985,5,5,450,5.0,9,1.80,36,29,75.0,1,0,4,0,0.0,0,0,0,0,,Matches,2020
31,Alex Meret,it ITA,GK,Napoli,22,1997,6,6,540,6.0,4,0.67,19,15,89.5,3,3,0,3,50.0,2,2,0,0,0.0,Matches,2020
32,Simon Mignolet,be BEL,GK,Club Brugge,31,1988,6,6,540,6.0,12,2.00,26,14,53.8,0,3,3,1,16.7,0,0,0,0,,Matches,2020
33,Fernando Muslera,uy URU,GK,Galatasaray,33,1986,6,6,540,6.0,14,2.33,47,33,74.5,0,2,4,1,16.7,2,2,0,0,0.0,Matches,2020
34,Yvon Mvogo,ch SUI,GK,RB Leipzig,25,1994,1,0,27,0.3,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches,2020
35,Keylor Navas,cr CRC,GK,Paris S-G,32,1986,9,9,798,8.9,6,0.68,26,19,76.9,6,1,2,5,55.6,1,0,1,0,100.0,Matches,2020
36,Neto,br BRA,GK,Barcelona,30,1989,1,1,90,1.0,1,1.00,8,7,87.5,1,0,0,0,0.0,0,0,0,0,,Matches,2020
37,Manuel Neuer,de GER,GK,Bayern Munich,33,1986,11,11,990,11.0,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,0.0,Matches,2020
38,Jan Oblak,si SVN,GK,Atlético Madrid,26,1993,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,,Matches,2020
39,André Onana,cm CMR,GK,Ajax,23,1996,6,6,540,6.0,6,1.00,30,24,86.7,3,1,2,3,50.0,3,2,0,1,0.0,Matches,2020
40,David Ospina,co COL,GK,Napoli,30,1988,2,2,180,2.0,4,2.00,6,2,50.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches,2020
41,Andriy Pyatov,ua UKR,GK,Shakhtar,35,1984,6,6,540,6.0,13,2.17,33,19,63.6,1,3,2,0,0.0,2,1,1,0,50.0,Matches,2020
42,Sergio Rico,es ESP,GK,Paris S-G,25,1993,3,2,192,2.1,0,0.00,3,3,100.0,2,0,0,2,100.0,0,0,0,0,,Matches,2020
43,José Sá,pt POR,GK,Olympiacos,26,1993,6,6,540,6.0,14,2.33,35,21,62.9,1,1,4,1,16.7,2,1,0,1,0.0,Matches,2020
44,Marco Sportiello,it ITA,GK,Atalanta,27,1992,2,2,180,2.0,5,2.50,13,8,61.5,1,0,1,0,0.0,0,0,0,0,,Matches,2020
45,Cican Stankovic,at AUT,GK,RB Salzburg,26,1992,4,4,302,3.4,9,2.68,18,9,50.0,1,0,3,0,0.0,0,0,0,0,,Matches,2020
46,Wojciech Szczęsny,pl POL,GK,Juventus,29,1990,7,7,630,7.0,6,0.86,22,16,77.3,5,1,1,2,28.6,1,1,0,0,0.0,Matches,2020
47,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,8,8,720,8.0,13,1.62,40,26,70.0,4,3,1,2,25.0,2,1,1,0,50.0,Matches,2020
48,Maarten Vandevoordt,be BEL,GK,Genk,17,2002,1,1,90,1.0,4,4.00,5,1,60.0,0,0,1,0,0.0,2,2,0,0,0.0,Matches,2020
49,Odisseas Vlachodimos,gr GRE,GK,Benfica,25,1994,6,6,540,6.0,11,1.83,28,18,64.3,2,1,3,1,16.7,1,1,0,0,0.0,Matches,2020
50,Kyle Walker,eng ENG,DF,Manchester City,29,1990,1,0,3,4.9,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,2020
1,Igor Akinfeev,ru RUS,GK,CSKA Moscow,32,1986,5,5,449,5.0,6,1.20,27,20,77.8,2,1,2,1,20.0,1,0,1,0,100.0,Matches,2019
2,Alisson,br BRA,GK,Liverpool,25,1992,13,13,"1,170",13.0,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,,Matches,2019
3,Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,3,3,270,3.0,6,2.00,15,9,66.7,1,1,1,0,0.0,1,1,0,0,0.0,Matches,2019
4,Loic Badiashile,fr FRA,GK,Monaco,20,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,2019
5,David von Ballmoos,ch SUI,GK,Young Boys,23,1994,4,4,360,4.0,10,2.50,22,12,59.1,0,0,4,0,0.0,1,1,0,0,0.0,Matches,2019
6,Vasilios Barkas,gr GRE,GK,AEK Athens,24,1994,6,6,540,6.0,13,2.17,40,27,72.5,0,0,6,0,0.0,2,2,0,0,0.0,Matches,2019
7,Oliver Baumann,de GER,GK,Hoffenheim,28,1990,6,6,540,6.0,14,2.33,43,29,67.4,0,3,3,0,0.0,0,0,0,0,,Matches,2019
8,Diego Benaglio,ch SUI,GK,Monaco,34,1983,5,5,405,4.5,10,2.22,18,8,50.0,0,0,5,0,0.0,1,1,0,0,0.0,Matches,2019
9,Milan Borjan,ca CAN,GK,Red Star,30,1987,6,6,540,6.0,17,2.83,56,38,71.4,1,1,4,2,33.3,2,1,1,0,50.0,Matches,2019
10,Gianluigi Buffon,it ITA,GK,Paris S-G,40,1978,5,5,450,5.0,6,1.20,13,7,76.9,3,1,1,1,20.0,3,3,0,0,0.0,Matches,2019
11,Roman Bürki,ch SUI,GK,Dortmund,27,1990,7,7,630,7.0,6,0.86,22,16,72.7,3,1,3,4,57.1,0,0,0,0,,Matches,2019
12,Iker Casillas,es ESP,GK,Porto,37,1981,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10.0,5,3,1,1,25.0,Matches,2019
13,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,1,1,90,1.0,1,1.00,7,6,85.7,0,1,0,0,0.0,0,0,0,0,,Matches,2019
14,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,5,5,450,5.0,8,1.60,28,20,71.4,3,0,2,2,40.0,0,0,0,0,,Matches,2019
15,Jaume Doménech,es ESP,GK,Valencia,27,1990,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,2019
16,Ederson,br BRA,GK,Manchester City,24,1993,10,10,900,10.0,12,1.20,33,21,72.7,7,1,2,3,30.0,3,3,0,0,0.0,Matches,2019
17,Ralf Fährmann,de GER,GK,Schalke 04,29,1988,6,6,540,6.0,14,2.33,30,15,60.0,2,1,3,2,33.3,3,2,1,0,33.3,Matches,2019
18,Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,2019
19,David de Gea,es ESP,GK,Manchester Utd,27,1990,9,9,810,9.0,9,1.00,31,23,71.0,4,1,4,3,33.3,0,0,0,0,,Matches,2019
20,Mathieu Gorgelin,fr FRA,GK,Lyon,27,1990,1,0,56,0.6,3,4.82,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches,2019
21,Samir Handanović,si SVN,GK,Inter,34,1984,6,6,540,6.0,7,1.17,39,32,82.1,2,2,2,0,0.0,0,0,0,0,,Matches,2019
22,Marwin Hitz,ch SUI,GK,Dortmund,30,1987,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,2019
23,Ethan Horvath,us USA,GK,Club Brugge,23,1995,3,3,270,3.0,0,0.00,11,11,100.0,1,2,0,3,100.0,0,0,0,0,,Matches,2019
24,Aleš Hruška,cz CZE,GK,Viktoria Plzeň,32,1985,4,4,360,4.0,9,2.25,23,14,65.2,2,0,2,0,0.0,1,1,0,0,0.0,Matches,2019
25,Matúš Kozáčik,sk SVK,GK,Viktoria Plzeň,34,1983,2,2,180,2.0,7,3.50,20,13,70.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches,2019
26,Georgii Kyrnats,ru RUS,"GK,MF",CSKA Moscow,20,1998,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches,2019
27,Karlo Letica,hr CRO,GK,Club Brugge,21,1997,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,0,0.0,0,0,0,0,,Matches,2019
28,Hugo Lloris,fr FRA,GK,Tottenham,31,1986,11,11,978,10.9,15,1.38,45,29,68.9,5,2,4,4,36.4,2,1,1,0,50.0,Matches,2019
29,Anthony Lopes,pt POR,GK,Lyon,27,1990,8,8,664,7.4,13,1.76,48,35,75.0,1,6,1,1,12.5,1,1,0,0,0.0,Matches,2019
30,Guilherme Marinato,ru RUS,GK,Loko Moscow,32,1985,6,6,540,6.0,12,2.00,33,21,69.7,1,0,5,1,16.7,2,2,0,0,0.0,Matches,2019
31,Antonio Mirante,it ITA,GK,Roma,35,1983,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,0,0.0,0,0,0,0,,Matches,2019
32,Fernando Muslera,uy URU,GK,Galatasaray,32,1986,6,6,540,6.0,8,1.33,24,17,70.8,1,1,4,2,33.3,1,1,0,0,0.0,Matches,2019
33,Keylor Navas,cr CRC,GK,Real Madrid,31,1986,3,3,270,3.0,2,0.67,9,7,77.8,2,0,1,1,33.3,0,0,0,0,,Matches,2019
34,Neto,br BRA,GK,Valencia,29,1989,5,5,450,5.0,5,1.00,24,19,91.7,1,2,2,1,20.0,3,3,0,0,0.0,Matches,2019
35,Manuel Neuer,de GER,GK,Bayern Munich,32,1986,8,8,720,8.0,8,1.00,30,22,76.7,4,3,1,4,50.0,1,1,0,0,0.0,Matches,2019
36,Alexander Nübel,de GER,GK,Schalke 04,21,1996,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,2019
37,Jan Oblak,si SVN,GK,Atlético Madrid,25,1993,8,8,720,8.0,9,1.13,19,10,57.9,5,1,2,4,50.0,2,1,0,1,0.0,Matches,2019
38,Robin Olsen,se SWE,GK,Roma,28,1990,6,6,570,6.3,9,1.42,38,29,78.9,3,0,3,2,33.3,1,1,0,0,0.0,Matches,2019
39,André Onana,cm CMR,GK,Ajax,22,1996,12,12,"1,080",12.0,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,0.0,Matches,2019
40,David Ospina,co COL,GK,Napoli,29,1988,6,6,540,6.0,5,0.83,20,15,75.0,2,3,1,2,33.3,0,0,0,0,,Matches,2019
41,Ilya Pomazun,ru RUS,GK,CSKA Moscow,21,1996,1,1,90,1.0,3,3.00,12,9,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,2019
42,Andriy Pyatov,ua UKR,GK,Shakhtar,34,1984,6,6,540,6.0,16,2.67,36,20,61.1,1,3,2,0,0.0,2,2,0,0,0.0,Matches,2019
43,Sergio Romero,ar ARG,GK,Manchester Utd,31,1987,1,1,90,1.0,2,2.00,3,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,2019
44,Danijel Subašić,hr CRO,GK,Monaco,33,1984,1,0,45,0.5,3,6.00,5,2,40.0,0,0,0,0,,1,0,0,1,,Matches,2019
45,Wojciech Szczęsny,pl POL,GK,Juventus,28,1990,10,10,900,10.0,9,0.90,31,22,74.2,5,1,4,5,50.0,2,1,1,0,50.0,Matches,2019
46,Marc-André ter Stegen,de GER,GK,Barcelona,26,1992,11,11,990,11.0,9,0.82,35,26,74.3,8,2,1,6,54.5,0,0,0,0,,Matches,2019
47,Odisseas Vlachodimos,gr GRE,GK,Benfica,24,1994,6,6,540,6.0,11,1.83,35,24,68.6,2,1,3,1,16.7,0,0,0,0,,Matches,2019
48,Michel Vorm,nl NED,GK,Tottenham,34,1983,2,1,99,1.1,3,2.73,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,2019
49,Marco Wölfli,ch SUI,GK,Young Boys,35,1982,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,0,0.0,0,0,0,0,,Matches,2019
50,Jeroen Zoet,nl NED,GK,PSV Eindhoven,27,1991,6,6,540,6.0,13,2.17,50,37,74.0,0,2,4,0,0.0,0,0,0,0,,Matches,2019
1,Igor Akinfeev,ru RUS,GK,CSKA Moscow,31,1986,6,6,540,6.0,10,1.67,37,27,75.7,3,0,3,1,16.7,1,1,0,0,0.0,Matches,2018
2,Alisson,br BRA,GK,Roma,24,1992,12,12,"1,080",12.0,19,1.58,63,46,69.8,6,2,4,5,41.7,0,0,0,0,,Matches,2018
3,Alphonse Areola,fr FRA,GK,Paris S-G,24,1993,8,8,720,8.0,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0,Matches,2018
4,Diego Benaglio,ch SUI,GK,Monaco,33,1983,3,3,270,3.0,9,3.00,17,8,47.1,0,1,2,0,0.0,0,0,0,0,,Matches,2018
5,Frank Boeckx,be BEL,GK,Anderlecht,30,1986,3,3,270,3.0,8,2.67,19,10,57.9,1,0,2,1,33.3,0,0,0,0,,Matches,2018
6,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,2018
7,Gianluigi Buffon,it ITA,GK,Juventus,39,1978,9,9,810,9.0,11,1.22,33,23,66.7,4,3,2,2,22.2,0,0,0,0,,Matches,2018
8,Roman Bürki,ch SUI,GK,Dortmund,26,1990,6,6,540,6.0,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,,Matches,2018
9,Kiko Casilla,es ESP,GK,Real Madrid,30,1986,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,1,50.0,0,0,0,0,,Matches,2018
10,Iker Casillas,es ESP,GK,Porto,36,1981,3,3,270,3.0,3,1.00,11,8,72.7,1,1,1,2,66.7,0,0,0,0,,Matches,2018
11,Júlio César,br BRA,GK,Benfica,37,1979,1,1,90,1.0,5,5.00,8,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2018
12,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2018
13,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,8,8,720,8.0,12,1.50,32,20,65.6,3,3,2,2,25.0,1,1,0,0,0.0,Matches,2018
14,Ederson,br BRA,GK,Manchester City,23,1993,9,9,810,9.0,10,1.11,33,22,75.8,6,0,3,4,44.4,3,2,1,0,33.3,Matches,2018
15,Fabricio,es ESP,GK,Beşiktaş,29,1987,6,6,540,6.0,9,1.50,32,24,71.9,3,2,1,1,16.7,0,0,0,0,,Matches,2018
16,David de Gea,es ESP,GK,Manchester Utd,26,1990,6,6,540,6.0,3,0.50,27,24,88.9,4,1,1,4,66.7,0,0,0,0,,Matches,2018
17,Craig Gordon,sct SCO,GK,Celtic,34,1982,6,6,540,6.0,18,3.00,39,23,56.4,1,0,5,1,16.7,1,1,0,0,0.0,Matches,2018
18,Raúl Gudiño,mx MEX,GK,APOEL FC,21,1996,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,2018
19,Péter Gulácsi,hu HUN,GK,RB Leipzig,27,1990,6,6,540,6.0,11,1.83,27,16,63.0,2,1,3,0,0.0,1,1,0,0,0.0,Matches,2018
20,Jasmin Handanović,si SVN,GK,NK Maribor,39,1978,6,6,540,6.0,16,2.67,47,30,68.1,0,3,3,0,0.0,2,1,1,0,50.0,Matches,2018
21,Brad Jones,au AUS,GK,Feyenoord,35,1982,5,5,450,5.0,13,2.60,24,11,45.8,0,0,5,0,0.0,0,0,0,0,,Matches,2018
22,Stefanos Kapino,gr GRE,GK,Olympiacos,23,1994,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,2018
23,Loris Karius,de GER,GK,Liverpool,24,1993,13,13,"1,170",13.0,16,1.23,42,27,69.0,7,4,2,6,46.2,3,3,0,0,0.0,Matches,2018
24,Hugo Lloris,fr FRA,GK,Tottenham,30,1986,7,7,630,7.0,8,1.14,33,25,81.8,4,2,1,1,14.3,3,2,0,1,0.0,Matches,2018
25,Keylor Navas,cr CRC,GK,Real Madrid,30,1986,11,11,990,11.0,13,1.18,44,32,70.5,8,2,1,2,18.2,0,0,0,0,,Matches,2018
26,Manuel Neuer,de GER,GK,Bayern Munich,31,1986,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2018
27,Jan Oblak,si SVN,GK,Atlético Madrid,24,1993,6,6,540,6.0,4,0.67,17,14,76.5,1,4,1,3,50.0,0,0,0,0,,Matches,2018
28,Rui Patrício,pt POR,GK,Sporting CP,29,1988,6,6,540,6.0,9,1.50,28,21,67.9,2,1,3,0,0.0,0,0,0,0,,Matches,2018
29,Nauzet Pérez,es ESP,GK,APOEL FC,32,1985,3,3,270,3.0,10,3.33,26,16,61.5,0,1,2,0,0.0,0,0,0,0,,Matches,2018
30,Silvio Proto,be BEL,GK,Olympiacos,34,1983,5,5,450,5.0,10,2.00,33,24,69.7,0,1,4,1,20.0,0,0,0,0,,Matches,2018
31,Andriy Pyatov,ua UKR,GK,Shakhtar,33,1984,8,8,720,8.0,11,1.37,44,32,79.5,5,0,3,0,0.0,3,2,1,0,33.3,Matches,2018
32,Artyom Rebrov,ru RUS,GK,Spartak Moscow,33,1984,2,2,158,1.8,2,1.14,11,9,81.8,0,2,0,0,0.0,0,0,0,0,,Matches,2018
33,Pepe Reina,es ESP,GK,Napoli,34,1982,6,6,540,6.0,11,1.83,29,17,62.1,2,0,4,1,16.7,1,0,1,0,100.0,Matches,2018
34,Sergio Rico,es ESP,GK,Sevilla,23,1993,8,8,720,8.0,13,1.62,31,18,58.1,3,4,1,2,25.0,1,0,0,1,,Matches,2018
35,Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,2,2,180,2.0,2,1.00,9,7,77.8,1,0,1,0,0.0,0,0,0,0,,Matches,2018
36,José Sá,pt POR,GK,Porto,24,1993,5,5,450,5.0,12,2.40,24,12,54.2,2,1,2,0,0.0,1,1,0,0,0.0,Matches,2018
37,Ibrahim Šehić,ba BIH,GK,Qarabağ FK,28,1988,6,6,540,6.0,14,2.33,47,34,74.5,0,2,4,1,16.7,2,2,0,0,0.0,Matches,2018
38,Aleksandr Selikhov,ru RUS,GK,Spartak Moscow,23,1994,5,4,382,4.2,11,2.59,25,14,60.0,1,1,2,0,0.0,1,1,0,0,0.0,Matches,2018
39,Matz Sels,be BEL,GK,Anderlecht,25,1992,3,3,270,3.0,9,3.00,22,13,63.6,0,0,3,0,0.0,1,1,0,0,0.0,Matches,2018
40,David Soria,es ESP,GK,Sevilla,24,1993,2,2,180,2.0,2,1.00,10,9,80.0,0,1,1,1,50.0,0,0,0,0,,Matches,2018
41,Danijel Subašić,hr CRO,GK,Monaco,32,1984,3,3,270,3.0,7,2.33,10,4,50.0,0,1,2,0,0.0,2,2,0,0,0.0,Matches,2018
42,Mile Svilar,rs SRB,GK,Benfica,17,1999,3,3,270,3.0,5,1.67,13,8,69.2,0,0,3,0,0.0,2,1,1,0,50.0,Matches,2018
43,Wojciech Szczęsny,pl POL,GK,Juventus,27,1990,2,1,90,1.0,1,1.00,4,3,100.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches,2018
44,Marc-André ter Stegen,de GER,GK,Barcelona,25,1992,9,9,810,9.0,6,0.67,28,22,82.1,5,3,1,5,55.6,1,1,0,0,0.0,Matches,2018
45,Sven Ulreich,de GER,GK,Bayern Munich,28,1988,11,11,990,11.0,12,1.09,42,30,71.4,7,2,2,3,27.3,0,0,0,0,,Matches,2018
46,Tomáš Vaclík,cz CZE,GK,Basel,28,1989,8,8,720,8.0,10,1.25,27,17,63.0,5,0,3,4,50.0,0,0,0,0,,Matches,2018
47,Bruno Varela,cv CPV,GK,Benfica,22,1994,2,2,180,2.0,4,2.00,10,7,70.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches,2018
48,Kenneth Vermeer,nl NED,GK,Feyenoord,31,1986,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,2018
49,Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,2018
50,Boy Waterman,nl NED,GK,APOEL FC,33,1984,3,3,225,2.5,6,2.40,11,5,54.5,0,1,2,0,0.0,1,1,0,0,0.0,Matches,2018
