Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Année édition
Sevilla,25,27.9,8,720,90,100,8.0,88,79,49,38,24,50,1.75,13,13,0,0.00,12.1,11.1,+1.0,+0.12,2021
Shakhtar,23,24.7,6,540,90,100,6.0,66,82,45,22,25,42,1.33,5,12,-7,-1.17,4.7,11.0,-6.3,-1.05,2021
Zenit,21,27.8,6,540,90,100,6.0,66,81,40,26,24,29,0.17,4,13,-9,-1.50,5.6,11.3,-5.7,-0.95,2021
Ajax,19,24.9,6,540,90,100,6.0,66,85,,17,16,25,1.67,12,6,+6,+1.00,7.5,13.8,-6.3,-1.05,2020
Atalanta,23,27.4,9,810,90,100,9.0,99,84,,28,22,40,1.44,17,18,-1,-0.11,17.7,18.9,-1.2,-0.14,2020
Atlético Madrid,21,26.2,9,840,93,100,9.3,99,86,,28,25,40,1.78,13,9,+4,+0.43,15.3,9.1,+6.1,+0.66,2020
Barcelona,24,27.6,9,810,90,100,9.0,99,84,,24,24,48,2.00,15,14,+1,+0.11,14.4,17.9,-3.5,-0.39,2020
Bayern Munich,20,27.0,11,990,90,100,11.0,121,83,,40,20,56,3.00,43,8,+35,+3.18,35.5,10.2,+25.3,+2.30,2020
Benfica,23,24.9,6,540,90,100,6.0,66,84,,18,23,24,1.17,10,11,-1,-0.17,8.1,9.4,-1.3,-0.22,2020
Chelsea,22,25.5,8,720,90,100,8.0,88,84,,22,22,38,1.38,12,16,-4,-0.50,17.5,12.7,+4.7,+0.59,2020
Club Brugge,22,25.4,6,540,90,100,6.0,66,85,,17,19,25,0.50,4,12,-8,-1.33,7.4,10.4,-3.0,-0.51,2020
Dinamo Zagreb,21,25.7,6,540,90,100,6.0,66,86,,18,15,24,0.83,10,13,-3,-0.50,7.5,16.3,-8.8,-1.46,2020
Dortmund,24,25.8,8,720,90,100,8.0,88,87,,22,13,34,1.63,10,11,-1,-0.12,14.4,13.1,+1.4,+0.17,2020
Galatasaray,20,29.7,6,540,90,100,6.0,66,84,,18,22,24,0.33,1,14,-13,-2.17,4.2,16.4,-12.2,-2.03,2020
Genk,20,23.5,6,540,90,100,6.0,66,86,,17,16,25,0.17,5,20,-15,-2.50,6.9,18.2,-11.3,-1.88,2020
Inter,20,27.9,6,540,90,100,6.0,66,85,,18,19,24,1.17,10,9,+1,+0.17,10.0,10.3,-0.3,-0.05,2020
Juventus,23,28.7,8,720,90,100,8.0,88,85,,25,17,35,2.38,14,6,+8,+1.00,12.0,10.9,+1.2,+0.15,2020
Leverkusen,20,26.7,6,540,90,100,6.0,66,85,,17,19,25,1.00,5,9,-4,-0.67,6.7,6.8,0.0,-0.01,2020
Lille,21,23.9,6,540,90,100,6.0,66,85,,18,17,24,0.17,4,14,-10,-1.67,8.8,10.1,-1.3,-0.22,2020
Liverpool,20,27.0,8,750,94,100,8.3,88,88,,24,21,32,1.63,15,12,+3,+0.36,16.2,8.8,+7.4,+0.89,2020
Loko Moscow,20,28.6,6,540,90,100,6.0,66,87,,11,16,31,0.50,4,11,-7,-1.17,6.0,13.1,-7.0,-1.17,2020
Lyon,24,25.0,10,900,90,100,10.0,110,84,,34,18,51,1.40,14,14,0,0.00,12.7,18.4,-5.7,-0.57,2020
Manchester City,23,26.9,9,810,90,100,9.0,99,85,,24,19,49,2.22,21,9,+12,+1.33,25.1,7.9,+17.2,+1.91,2020
Napoli,24,27.1,8,720,90,100,8.0,88,84,,26,21,35,1.63,13,8,+5,+0.62,14.9,11.0,+3.9,+0.48,2020
Olympiacos,17,26.2,6,540,90,100,6.0,66,85,,18,15,24,0.67,8,14,-6,-1.00,7.9,12.1,-4.3,-0.71,2020
Paris S-G,24,27.4,11,990,90,100,11.0,121,85,,35,17,57,2.27,25,6,+19,+1.73,26.2,12.3,+13.9,+1.27,2020
RB Leipzig,25,24.2,10,900,90,100,10.0,110,83,,33,25,47,2.00,16,12,+4,+0.40,18.0,13.0,+5.0,+0.50,2020
RB Salzburg,21,24.1,6,540,90,100,6.0,66,84,,18,21,24,1.17,16,13,+3,+0.50,13.7,11.9,+1.8,+0.30,2020
Real Madrid,25,27.3,8,720,90,100,8.0,88,85,,25,19,36,1.38,16,12,+4,+0.50,16.6,13.7,+2.8,+0.36,2020
Red Star,19,27.5,6,540,90,100,6.0,66,83,,18,25,24,0.50,3,20,-17,-2.83,4.0,19.8,-15.8,-2.64,2020
Shakhtar,18,28.4,6,540,90,100,6.0,66,86,,17,15,25,1.00,8,13,-5,-0.83,8.3,13.1,-4.8,-0.81,2020
Slavia Prague,20,26.9,6,540,90,100,6.0,66,85,,18,20,24,0.33,4,10,-6,-1.00,9.4,12.2,-2.8,-0.46,2020
Tottenham,28,26.2,8,720,90,100,8.0,88,85,,22,20,34,1.25,18,18,0,0.00,14.5,11.2,+3.3,+0.42,2020
Valencia,23,27.2,8,720,90,100,8.0,88,84,,22,22,34,1.38,13,15,-2,-0.25,14.7,15.7,-1.0,-0.13,2020
Zenit,19,28.1,6,540,90,100,6.0,66,84,,18,19,24,1.17,7,9,-2,-0.33,6.1,9.5,-3.3,-0.55,2020
AEK Athens,20,26.0,6,540,90,100,6.0,66,85,46,18,19,24,0.00,2,13,-11,-1.83,4.7,11.9,-7.2,-1.20,2019
Ajax,22,24.3,12,"1,080",90,100,12.0,132,87,107,25,16,59,1.83,22,13,+9,+0.75,22.3,17.8,+4.5,+0.38,2019
Atlético Madrid,21,26.4,8,720,90,100,8.0,88,83,67,20,29,36,2.00,11,9,+2,+0.25,8.1,9.1,-1.0,-0.12,2019
Barcelona,23,27.7,12,"1,080",90,100,12.0,132,86,98,33,15,51,2.25,26,10,+16,+1.33,23.1,14.4,+8.6,+0.72,2019
Bayern Munich,20,28.3,8,720,90,100,8.0,88,86,63,24,13,32,1.88,16,8,+8,+1.00,14.7,9.3,+5.4,+0.68,2019
Benfica,20,25.5,6,540,90,100,6.0,66,82,48,17,27,25,1.17,6,11,-5,-0.83,6.2,10.7,-4.5,-0.75,2019
Club Brugge,25,24.9,6,540,90,100,6.0,66,85,48,18,19,24,1.00,6,5,+1,+0.17,5.4,6.3,-0.9,-0.15,2019
CSKA Moscow,22,23.9,6,540,90,100,6.0,66,84,47,17,22,24,1.17,8,9,-1,-0.17,6.9,11.6,-4.8,-0.79,2019
Dortmund,24,25.0,8,720,90,100,8.0,88,85,64,24,19,32,1.63,10,6,+4,+0.50,12.2,6.8,+5.5,+0.68,2019
Galatasaray,21,28.4,6,540,90,100,6.0,66,85,48,17,19,25,0.67,5,8,-3,-0.50,9.9,9.6,+0.2,+0.04,2019
Hoffenheim,25,25.6,6,540,90,100,6.0,66,84,46,18,20,24,0.50,11,14,-3,-0.50,11.1,12.3,-1.2,-0.21,2019
Inter,17,28.1,6,540,90,100,6.0,66,85,49,17,18,25,1.33,6,7,-1,-0.17,8.6,7.8,+0.8,+0.13,2019
Juventus,22,28.4,10,900,90,100,10.0,110,84,82,28,22,41,1.60,14,9,+5,+0.50,18.9,10.1,+8.8,+0.88,2019
Liverpool,20,26.1,13,"1,170",90,100,13.0,143,85,107,36,21,60,1.92,24,12,+12,+0.92,28.3,13.9,+14.4,+1.11,2019
Loko Moscow,19,29.0,6,540,90,100,6.0,66,86,52,13,18,29,0.50,4,12,-8,-1.33,6.6,9.2,-2.5,-0.42,2019
Lyon,21,24.4,8,720,90,100,8.0,88,87,64,24,13,32,1.13,13,16,-3,-0.37,12.3,17.2,-5.0,-0.62,2019
Manchester City,21,26.7,10,900,90,100,10.0,110,85,81,28,18,42,2.20,30,12,+18,+1.80,22.9,10.1,+12.8,+1.28,2019
Manchester Utd,26,26.2,10,900,90,100,10.0,110,85,84,25,22,45,1.30,10,11,-1,-0.10,10.4,13.7,-3.2,-0.32,2019
Monaco,29,25.0,6,540,90,100,6.0,66,83,49,18,27,24,0.17,2,14,-12,-2.00,5.1,11.0,-5.9,-0.99,2019
Napoli,18,28.2,6,540,90,100,6.0,66,85,48,18,19,24,1.50,7,5,+2,+0.33,10.9,6.5,+4.4,+0.73,2019
Paris S-G,20,27.0,8,720,90,100,8.0,88,87,67,21,14,35,1.75,20,12,+8,+1.00,16.9,10.5,+6.4,+0.80,2019
Porto,25,27.9,10,930,93,100,10.3,110,88,79,31,18,39,1.90,20,15,+5,+0.48,16.9,19.4,-2.5,-0.24,2019
PSV Eindhoven,18,24.4,6,540,90,100,6.0,66,87,52,14,15,28,0.33,6,13,-7,-1.17,7.1,13.9,-6.8,-1.13,2019
Real Madrid,24,27.0,8,720,90,100,8.0,88,83,63,24,25,32,1.88,15,10,+5,+0.62,16.9,10.8,+6.1,+0.76,2019
Red Star,20,26.8,6,540,90,100,6.0,66,84,48,18,23,24,0.67,5,17,-12,-2.00,2.9,19.4,-16.6,-2.76,2019
Roma,24,27.4,8,750,94,100,8.3,88,87,64,25,24,31,1.50,14,12,+2,+0.24,15.0,14.0,+1.0,+0.11,2019
Schalke 04,27,26.2,8,720,90,100,8.0,88,84,64,24,24,32,1.38,8,14,-6,-0.75,10.5,11.9,-1.4,-0.17,2019
Shakhtar,20,27.5,6,540,90,100,6.0,66,86,49,17,16,25,1.00,8,16,-8,-1.33,6.9,13.2,-6.3,-1.04,2019
Tottenham,24,27.0,13,"1,170",90,100,13.0,143,85,103,39,18,57,1.54,20,19,+1,+0.08,20.5,16.1,+4.4,+0.34,2019
Valencia,22,25.9,6,540,90,100,6.0,66,84,49,17,22,25,1.33,6,6,0,0.00,6.9,11.1,-4.2,-0.70,2019
Viktoria Plzeň,21,29.6,6,540,90,100,6.0,66,85,48,18,20,24,1.17,7,16,-9,-1.50,7.8,12.3,-4.5,-0.75,2019
Young Boys,20,26.1,6,540,90,100,6.0,66,84,46,18,21,24,0.67,4,12,-8,-1.33,6.5,11.5,-5.0,-0.83,2019
Anderlecht,20,26.1,6,540,90,100,6.0,66,,,18,0,24,0.50,2,17,-15,-2.50,5.4,14.2,-8.8,-1.47,2018
APOEL FC,21,29.7,6,540,90,100,6.0,66,,,18,0,24,0.33,2,17,-15,-2.50,3.9,16.5,-12.7,-2.11,2018
Atlético Madrid,20,27.0,6,540,90,100,6.0,66,,,17,0,25,1.17,5,4,+1,+0.17,11.3,6.9,+4.4,+0.74,2018
Barcelona,22,27.8,10,900,90,100,10.0,110,,,28,0,42,2.10,17,6,+11,+1.10,13.7,8.9,+4.8,+0.48,2018
Basel,21,25.4,8,720,90,100,8.0,88,,,19,0,37,1.88,13,10,+3,+0.37,10.4,10.7,-0.3,-0.04,2018
Bayern Munich,22,27.5,12,"1,080",90,100,12.0,132,,,35,0,48,2.17,26,12,+14,+1.17,27.4,14.2,+13.2,+1.10,2018
Benfica,25,26.8,6,540,90,100,6.0,66,,,18,0,24,0.00,1,14,-13,-2.17,6.2,10.4,-4.2,-0.69,2018
Beşiktaş,23,30.2,8,720,90,100,8.0,88,,,24,0,32,1.75,12,13,-1,-0.12,8.6,15.1,-6.5,-0.81,2018
Celtic,20,26.1,6,540,90,100,6.0,66,,,17,0,25,0.50,5,18,-13,-2.17,4.7,10.5,-5.7,-0.96,2018
Chelsea,19,26.9,8,720,90,100,8.0,88,,,23,0,33,1.50,17,12,+5,+0.62,15.5,7.7,+7.8,+0.97,2018
CSKA Moscow,20,28.1,6,540,90,100,6.0,66,,,18,0,23,1.50,8,10,-2,-0.33,5.7,12.9,-7.2,-1.20,2018
Dortmund,22,26.2,6,540,90,100,6.0,66,,,17,0,24,0.33,7,13,-6,-1.00,9.6,9.8,-0.2,-0.04,2018
Feyenoord,23,25.1,6,540,90,100,6.0,66,,,16,0,25,0.50,5,14,-9,-1.50,5.4,8.6,-3.3,-0.54,2018
Juventus,23,29.5,10,900,90,100,10.0,110,,,29,0,41,1.80,14,12,+2,+0.20,16.9,13.6,+3.3,+0.33,2018
Liverpool,24,25.6,13,"1,170",90,100,13.0,143,,,37,0,54,1.92,41,16,+25,+1.92,33.0,13.2,+19.7,+1.52,2018
Manchester City,25,25.9,10,900,90,100,10.0,110,,,25,0,45,1.80,20,12,+8,+0.80,15.7,11.0,+4.6,+0.46,2018
Manchester Utd,25,26.5,8,720,90,100,8.0,88,,,24,0,32,2.00,13,5,+8,+1.00,18.0,8.2,+9.8,+1.23,2018
Monaco,23,26.0,6,540,90,100,6.0,66,,,17,0,25,0.33,6,16,-10,-1.67,5.9,9.7,-3.8,-0.63,2018
Napoli,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,11,11,0,0.00,10.1,8.2,+1.8,+0.31,2018
NK Maribor,17,28.5,6,540,90,100,6.0,66,,,17,0,25,0.50,3,16,-13,-2.17,4.1,16.1,-12.0,-1.99,2018
Olympiacos,22,26.9,6,540,90,100,6.0,66,,,18,0,24,0.17,4,13,-9,-1.50,3.4,13.8,-10.3,-1.72,2018
Paris S-G,19,26.2,8,720,90,100,8.0,88,,,21,0,35,1.88,27,9,+18,+2.25,17.2,9.5,+7.7,+0.96,2018
Porto,25,26.6,8,720,90,100,8.0,88,,,23,0,33,1.38,15,15,0,0.00,10.9,11.2,-0.3,-0.04,2018
Qarabağ FK,20,28.4,6,540,90,100,6.0,66,,,18,0,24,0.33,2,14,-12,-2.00,2.4,14.8,-12.4,-2.06,2018
RB Leipzig,19,23.9,6,540,90,100,6.0,66,,,17,0,25,1.17,10,11,-1,-0.17,9.6,7.7,+2.0,+0.33,2018
Real Madrid,23,27.8,13,"1,170",90,100,13.0,143,,,38,0,53,2.23,33,16,+17,+1.31,33.0,20.0,+13.1,+1.01,2018
Roma,20,28.0,12,"1,080",90,100,12.0,132,,,33,0,51,1.67,21,19,+2,+0.17,19.1,18.2,+0.9,+0.07,2018
Sevilla,22,27.2,10,900,90,100,10.0,110,,,28,0,42,1.40,15,15,0,0.00,16.1,13.9,+2.2,+0.22,2018
Shakhtar,20,27.6,8,720,90,100,8.0,88,,,20,0,36,1.88,11,11,0,0.00,9.9,13.7,-3.8,-0.48,2018
Spartak Moscow,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,9,13,-4,-0.67,6.8,11.4,-4.6,-0.77,2018
Sporting CP,21,26.6,6,540,90,100,6.0,66,,,18,0,24,1.17,8,9,-1,-0.17,7.3,7.1,+0.2,+0.04,2018
Tottenham,26,25.6,8,720,90,100,8.0,88,,,21,0,35,2.13,18,8,+10,+1.25,13.1,12.6,+0.5,+0.06,2018
