Round,Wk,Day,Date,Time,Home,xG-H,Score,xG-A,Away,Attendance,Venue,Referee,Match Report,Notes,Année édition
Round of 16,,Wed,2019-02-20,21:00 ,Atlético Madrid,1.4,2–0,0.7,Juventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2,2019
Round of 16,,Tue,2019-03-05,21:00 ,Real Madrid,2.5,1–4,2.6,Ajax,"77,013",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won,2019
Round of 16,,Tue,2019-03-05,21:00 ,Dortmund,1.4,0–1,1.0,Tottenham,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won,2019
Round of 16,,Wed,2019-03-06,20:00 ,Porto,4.2,3–1,1.9,Roma,"49,029",Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time,2019
Round of 16,,Wed,2019-03-06,21:00 ,Paris S-G,1.4,1–3,2.1,Manchester Utd,"47,441",Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won,2019
Round of 16,,Tue,2019-03-12,20:00 ,Manchester City,3.7,7–0,0.1,Schalke 04,"51,518",Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won,2019
Round of 16,,Tue,2019-03-12,21:00 ,Juventus,2.5,3–0,0.4,Atlético Madrid,"40,884",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won,2019
Round of 16,,Wed,2019-03-13,21:00 ,Barcelona,4.3,5–1,0.6,Lyon,"92,346",Camp Nou,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won,2019
Round of 16,,Wed,2019-03-13,21:00 ,Bayern Munich,0.3,1–3,1.1,Liverpool,"68,145",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Liverpool won,2019
Quarter-finals,,Tue,2019-04-09,20:00 ,Liverpool,2.3,2–0,0.8,Porto,"52,465",Anfield,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2019
Quarter-finals,,Tue,2019-04-09,20:00 ,Tottenham,0.9,1–0,1.3,Manchester City,"60,044",Tottenham Hotspur Stadium,Björn Kuipers,Match Report,Leg 1 of 2,2019
Quarter-finals,,Wed,2019-04-10,20:00 ,Manchester Utd,0.5,0–1,1.1,Barcelona,"74,093",Old Trafford,Gianluca Rocchi,Match Report,Leg 1 of 2,2019
Quarter-finals,,Wed,2019-04-10,21:00 ,Ajax,1.2,1–1,0.7,Juventus,"50,390",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 1 of 2,2019
Quarter-finals,,Tue,2019-04-16,21:00 ,Juventus,0.8,1–2,2.2,Ajax,"41,445",Allianz Stadium,Clément Turpin,Match Report,Leg 2 of 2; Ajax won,2019
Quarter-finals,,Tue,2019-04-16,21:00 ,Barcelona,1.4,3–0,0.4,Manchester Utd,"96,708",Camp Nou,Felix Brych,Match Report,Leg 2 of 2; Barcelona won,2019
Quarter-finals,,Wed,2019-04-17,20:00 ,Porto,1.0,1–4,3.5,Liverpool,"49,117",Estádio Do Dragão,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won,2019
Quarter-finals,,Wed,2019-04-17,20:00 ,Manchester City,2.5,4–3,0.7,Tottenham,"53,348",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 2 of 2; Tottenham won,2019
Semi-finals,,Tue,2019-04-30,20:00 ,Tottenham,0.6,0–1,1.3,Ajax,"60,243",Tottenham Hotspur Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2019
Semi-finals,,Wed,2019-05-01,21:00 ,Barcelona,2.4,3–0,1.8,Liverpool,"98,299",Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2,2019
Semi-finals,,Tue,2019-05-07,20:00 ,Liverpool,2.3,4–0,1.4,Barcelona,"55,212",Anfield,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won,2019
Semi-finals,,Wed,2019-05-08,21:00 ,Ajax,1.6,2–3,4.2,Tottenham,"52,641",Johan Cruyff ArenA,Felix Brych,Match Report,Leg 2 of 2; Tottenham won,2019
Final,,Sat,2019-06-01,21:00 ,Tottenham,0.8,0–2,1.3,Liverpool,"63,272",Estadio Wanda Metropolitano (Neutral Site),Damir Skomina,Match Report,,2019
Group stage,1,Tue,2017-09-12,19:45 ,Chelsea,2.0,6–0,0.3,Qarabağ FK,"41,150",Stamford Bridge,Tasos Sidiropoulos,Match Report,,2018
Group stage,1,Tue,2017-09-12,19:45 ,Celtic,0.4,0–5,2.5,Paris S-G,"57,562",Celtic Park,Daniele Orsato,Match Report,,2018
Group stage,1,Tue,2017-09-12,19:45 ,Manchester Utd,3.4,3–0,0.6,Basel,"73,854",Old Trafford,Ruddy Buquet,Match Report,,2018
Group stage,1,Tue,2017-09-12,19:45 ,Benfica,2.1,1–2,1.6,CSKA Moscow,"38,323",Estádio do Sport Lisboa e Benfica,Alberto Undiano,Match Report,,2018
Group stage,1,Tue,2017-09-12,20:45 ,Roma,0.5,0–0,2.4,Atlético Madrid,"36,064",Stadio Olimpico,Milorad Mažić,Match Report,,2018
Group stage,1,Tue,2017-09-12,20:45 ,Barcelona,0.9,3–0,0.7,Juventus,"78,656",Camp Nou,Damir Skomina,Match Report,,2018
Group stage,1,Tue,2017-09-12,20:45 ,Bayern Munich,4.2,3–0,0.8,Anderlecht,"70,000",Allianz Arena,Paolo Tagliavento,Match Report,,2018
Group stage,1,Tue,2017-09-12,21:45 ,Olympiacos,1.1,2–3,2.6,Sporting CP,"30,168",Stadio Georgios Karaiskáki,Viktor Kassai,Match Report,,2018
Group stage,1,Wed,2017-09-13,19:45 ,Porto,1.5,1–3,0.9,Beşiktaş,"42,429",Estádio Do Dragão,Anthony Taylor,Match Report,,2018
Group stage,1,Wed,2017-09-13,19:45 ,Liverpool,2.4,2–2,1.2,Sevilla,"52,332",Anfield,Danny Makkelie,Match Report,,2018
Group stage,1,Wed,2017-09-13,19:45 ,Tottenham,1.2,3–1,0.8,Dortmund,"67,343",Wembley Stadium,Gianluca Rocchi,Match Report,,2018
Group stage,1,Wed,2017-09-13,20:45 ,NK Maribor,1.1,1–1,1.8,Spartak Moscow,"12,566",Ljudski vrt,Deniz Aytekin,Match Report,,2018
Group stage,1,Wed,2017-09-13,20:45 ,Feyenoord,0.3,0–4,1.3,Manchester City,"43,500",Stadion Feijenoord,Szymon Marciniak,Match Report,,2018
Group stage,1,Wed,2017-09-13,20:45 ,RB Leipzig,0.9,1–1,1.1,Monaco,"40,068",Red Bull Arena,Michael Oliver,Match Report,,2018
Group stage,1,Wed,2017-09-13,20:45 ,Real Madrid,3.9,3–0,0.2,APOEL FC,"71,060",Estadio Santiago Bernabéu,Benoît Bastien,Match Report,,2018
Group stage,1,Wed,2017-09-13,21:45 ,Shakhtar,1.4,2–1,1.9,Napoli,"32,679",L'viv Arena,Felix Zwayer,Match Report,,2018
Group stage,2,Tue,2017-09-26,19:45 ,Manchester City,3.2,2–0,0.5,Shakhtar,"45,310",Academy Stadium,Jorge de Sousa,Match Report,,2018
Group stage,2,Tue,2017-09-26,20:45 ,Sevilla,3.9,3–0,0.4,NK Maribor,"34,705",Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakov,Match Report,,2018
Group stage,2,Tue,2017-09-26,20:45 ,Dortmund,1.2,1–3,3.2,Real Madrid,"65,849",Signal Iduna Park,Björn Kuipers,Match Report,,2018
Group stage,2,Tue,2017-09-26,20:45 ,Monaco,0.6,0–3,2.9,Porto,"11,703",Stade Louis II.,Slavko Vinčić,Match Report,,2018
Group stage,2,Tue,2017-09-26,20:45 ,Napoli,0.9,3–1,1.6,Feyenoord,"22,577",Stadio San Paolo,William Collum,Match Report,,2018
Group stage,2,Tue,2017-09-26,21:45 ,Spartak Moscow,0.2,1–1,2.8,Liverpool,"43,376",Otkrytie Arena,Clément Turpin,Match Report,,2018
Group stage,2,Tue,2017-09-26,21:45 ,Beşiktaş,1.0,2–0,1.1,RB Leipzig,"36,641",Vodafone Arena,Sergey Karasev,Match Report,,2018
Group stage,2,Tue,2017-09-26,21:45 ,APOEL FC,1.0,0–3,1.8,Tottenham,"16,324",Neo GSP,Pavel Královec,Match Report,,2018
Group stage,2,Thu,2017-09-28,00:45 ,CSKA Moscow,0.6,1–4,4.3,Manchester Utd,"29,073",Stadion CSKA,Jonas Eriksson,Match Report,,2018
Group stage,2,Wed,2017-09-27,19:45 ,Sporting CP,0.7,0–1,0.9,Barcelona,"48,575",Estádio José Alvalade,Ovidiu Hațegan,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:00 ,Qarabağ FK,0.9,1–2,1.9,Roma,"67,200",Bakı Olimpiya Stadionu,Artur Soares Dias,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:45 ,Atlético Madrid,1.4,1–2,2.5,Chelsea,"60,643",Estadio Wanda Metropolitano,Cüneyt Çakιr,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:45 ,Juventus,2.3,2–0,0.5,Olympiacos,"33,460",Allianz Stadium,Tobias Stieler,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:45 ,Basel,3.2,5–0,0.4,Benfica,"34,111",St. Jakob-Park,Craig Thomson,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:45 ,Paris S-G,2.0,3–0,1.0,Bayern Munich,"46,252",Parc des Princes,Antonio Matéu Lahoz,Match Report,,2018
Group stage,2,Wed,2017-09-27,20:45 ,Anderlecht,0.6,0–3,1.2,Celtic,"19,898",Stade Constant Vanden Stock,Jesús Gil,Match Report,,2018
Group stage,3,Tue,2017-10-17,19:45 ,Manchester City,2.7,2–1,2.2,Napoli,"48,520",Etihad Stadium,Antonio Matéu Lahoz,Match Report,,2018
Group stage,3,Tue,2017-10-17,20:45 ,Feyenoord,1.6,1–2,1.3,Shakhtar,"43,500",Stadion Feijenoord,Alberto Undiano,Match Report,,2018
Group stage,3,Tue,2017-10-17,20:45 ,Monaco,0.7,1–2,1.2,Beşiktaş,"7,403",Stade Louis II.,Milorad Mažić,Match Report,,2018
Group stage,3,Tue,2017-10-17,20:45 ,RB Leipzig,2.5,3–2,1.1,Porto,"41,496",Red Bull Arena,Paolo Tagliavento,Match Report,,2018
Group stage,3,Tue,2017-10-17,20:45 ,Real Madrid,2.9,1–1,0.9,Tottenham,"76,589",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,,2018
Group stage,3,Tue,2017-10-17,20:45 ,NK Maribor,0.4,0–7,4.6,Liverpool,"12,506",Ljudski vrt,Viktor Kassai,Match Report,,2018
Group stage,3,Tue,2017-10-17,21:45 ,Spartak Moscow,1.7,5–1,1.3,Sevilla,"44,307",Otkrytie Arena,Gianluca Rocchi,Match Report,,2018
Group stage,3,Tue,2017-10-17,21:45 ,APOEL FC,1.0,1–1,2.1,Dortmund,"15,604",Neo GSP,Aliaksei Kulbakov,Match Report,,2018
Group stage,3,Wed,2017-10-18,19:45 ,Benfica,0.5,0–1,0.6,Manchester Utd,"57,684",Estádio do Sport Lisboa e Benfica,Felix Zwayer,Match Report,,2018
Group stage,3,Wed,2017-10-18,19:45 ,Chelsea,1.6,3–3,1.6,Roma,"41,105",Stamford Bridge,Damir Skomina,Match Report,,2018
Group stage,3,Wed,2017-10-18,20:00 ,Qarabağ FK,0.4,0–0,1.9,Atlético Madrid,"47,923",Bakı Olimpiya Stadionu,Ruddy Buquet,Match Report,,2018
Group stage,3,Wed,2017-10-18,20:45 ,Barcelona,3.5,3–1,0.2,Olympiacos,"55,026",Camp Nou,William Collum,Match Report,,2018
Group stage,3,Wed,2017-10-18,20:45 ,Anderlecht,1.2,0–4,3.3,Paris S-G,"19,108",Stade Constant Vanden Stock,Pavel Královec,Match Report,,2018
Group stage,3,Wed,2017-10-18,20:45 ,Bayern Munich,3.2,3–0,0.6,Celtic,"70,000",Allianz Arena,Sergey Karasev,Match Report,,2018
Group stage,3,Wed,2017-10-18,20:45 ,Juventus,1.5,2–1,0.5,Sporting CP,"36,288",Allianz Stadium,Michael Oliver,Match Report,,2018
Group stage,3,Wed,2017-10-18,21:45 ,CSKA Moscow,0.4,0–2,1.4,Basel,"27,996",VEB Arena,Björn Kuipers,Match Report,,2018
Group stage,4,Tue,2017-10-31,19:45 ,Celtic,1.4,1–2,0.7,Bayern Munich,"58,269",Celtic Park,Danny Makkelie,Match Report,,2018
Group stage,4,Tue,2017-10-31,19:45 ,Sporting CP,0.5,1–1,2.0,Juventus,"48,442",Estádio José Alvalade,Clément Turpin,Match Report,,2018
Group stage,4,Tue,2017-10-31,19:45 ,Manchester Utd,2.7,2–0,0.9,Benfica,"74,437",Old Trafford,Gediminas Mažeika,Match Report,,2018
Group stage,4,Tue,2017-10-31,20:45 ,Paris S-G,2.6,5–0,0.2,Anderlecht,"46,403",Parc des Princes,David Fernández,Match Report,,2018
Group stage,4,Tue,2017-10-31,20:45 ,Atlético Madrid,3.2,1–1,0.2,Qarabağ FK,"55,893",Estadio Wanda Metropolitano,Deniz Aytekin,Match Report,,2018
Group stage,4,Tue,2017-10-31,20:45 ,Roma,1.5,3–0,1.3,Chelsea,"55,036",Stadio Olimpico,Jonas Eriksson,Match Report,,2018
Group stage,4,Tue,2017-10-31,20:45 ,Basel,1.2,1–2,1.3,CSKA Moscow,"33,303",St. Jakob-Park,Milorad Mažić,Match Report,,2018
Group stage,4,Tue,2017-10-31,21:45 ,Olympiacos,0.3,0–0,1.8,Barcelona,"31,600",Stadio Georgios Karaiskáki,Anthony Taylor,Match Report,,2018
Group stage,4,Wed,2017-11-01,19:45 ,Tottenham,2.3,3–1,2.2,Real Madrid,"83,782",Wembley Stadium,Cüneyt Çakιr,Match Report,,2018
Group stage,4,Wed,2017-11-01,19:45 ,Porto,1.8,3–1,0.6,RB Leipzig,"41,616",Estádio Do Dragão,Ovidiu Hațegan,Match Report,,2018
Group stage,4,Wed,2017-11-01,19:45 ,Liverpool,2.7,3–0,0.3,NK Maribor,"47,957",Anfield,Ivan Kružliak,Match Report,,2018
Group stage,4,Wed,2017-11-01,20:00 ,Beşiktaş,1.3,1–1,1.0,Monaco,"39,346",Vodafone Arena,Paolo Tagliavento,Match Report,,2018
Group stage,4,Wed,2017-11-01,20:45 ,Sevilla,0.9,2–1,1.2,Spartak Moscow,"38,002",Estadio Ramón Sánchez Pizjuán,Artur Soares Dias,Match Report,,2018
Group stage,4,Wed,2017-11-01,20:45 ,Dortmund,2.8,1–1,0.6,APOEL FC,"64,500",Fußballpark BVB Hohenbuschei,Matej Jug,Match Report,,2018
Group stage,4,Wed,2017-11-01,20:45 ,Napoli,2.1,2–4,1.4,Manchester City,"44,483",Stadio San Paolo,Felix Brych,Match Report,,2018
Group stage,4,Wed,2017-11-01,21:45 ,Shakhtar,2.6,3–1,1.0,Feyenoord,"24,570",Oblasny SportKomplex Metalist,Tasos Sidiropoulos,Match Report,,2018
Group stage,5,Tue,2017-11-21,19:45 ,Manchester City,1.3,1–0,0.3,Feyenoord,"43,548",Etihad Stadium,Ivan Kružliak,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:00 ,Beşiktaş,0.7,1–1,0.7,Porto,"36,919",Vodafone Arena,Antonio Matéu Lahoz,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:00 ,Spartak Moscow,1.4,1–1,1.2,NK Maribor,"42,920",Otkrytie Arena,William Collum,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:45 ,Sevilla,1.9,3–3,2.3,Liverpool,"39,495",Estadio Ramón Sánchez Pizjuán,Felix Brych,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:45 ,Napoli,1.9,3–0,0.5,Shakhtar,"10,573",Stadio San Paolo,Damir Skomina,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:45 ,Dortmund,1.1,1–2,1.1,Tottenham,"65,849",Signal Iduna Park,Clément Turpin,Match Report,,2018
Group stage,5,Tue,2017-11-21,20:45 ,Monaco,0.8,1–4,1.5,RB Leipzig,"9,029",Stade Louis II.,Alberto Undiano,Match Report,,2018
Group stage,5,Tue,2017-11-21,21:45 ,APOEL FC,0.5,0–6,3.7,Real Madrid,"19,705",Neo GSP,Artur Soares Dias,Match Report,,2018
Group stage,5,Wed,2017-11-22,19:45 ,Sporting CP,2.0,3–1,0.4,Olympiacos,"42,528",Estádio José Alvalade,Felix Zwayer,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:00 ,CSKA Moscow,1.0,2–0,1.0,Benfica,"27,709",VEB Arena,Deniz Aytekin,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:45 ,Juventus,0.5,0–0,0.9,Barcelona,"40,876",Allianz Stadium,Milorad Mažić,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:45 ,Basel,1.1,1–0,1.5,Manchester Utd,"36,000",St. Jakob-Park,Daniele Orsato,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:45 ,Anderlecht,1.8,1–2,2.2,Bayern Munich,"19,753",Stade Constant Vanden Stock,Anthony Taylor,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:45 ,Paris S-G,2.8,7–1,0.3,Celtic,"46,288",Parc des Princes,Tasos Sidiropoulos,Match Report,,2018
Group stage,5,Wed,2017-11-22,20:45 ,Atlético Madrid,1.4,2–0,0.5,Roma,"56,253",Estadio Wanda Metropolitano,Björn Kuipers,Match Report,,2018
Group stage,5,Wed,2017-11-22,21:00 ,Qarabağ FK,0.2,0–4,3.9,Chelsea,"67,100",Bakı Olimpiya Stadionu,Jorge de Sousa,Match Report,,2018
Group stage,6,Tue,2017-12-05,19:45 ,Chelsea,2.9,1–1,1.0,Atlético Madrid,"40,875",Stamford Bridge,Danny Makkelie,Match Report,,2018
Group stage,6,Tue,2017-12-05,19:45 ,Celtic,0.8,0–1,0.7,Anderlecht,"57,931",Celtic Park,Matej Jug,Match Report,,2018
Group stage,6,Tue,2017-12-05,19:45 ,Manchester Utd,2.9,2–1,0.8,CSKA Moscow,"74,669",Old Trafford,Gianluca Rocchi,Match Report,,2018
Group stage,6,Tue,2017-12-05,19:45 ,Benfica,1.4,0–2,1.4,Basel,"22,470",Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,,2018
Group stage,6,Tue,2017-12-05,20:45 ,Barcelona,1.2,2–0,1.0,Sporting CP,"48,336",Camp Nou,Craig Thomson,Match Report,,2018
Group stage,6,Tue,2017-12-05,20:45 ,Roma,1.9,1–0,0.4,Qarabağ FK,"34,258",Stadio Olimpico,Tobias Stieler,Match Report,,2018
Group stage,6,Tue,2017-12-05,20:45 ,Bayern Munich,1.8,3–1,1.9,Paris S-G,"70,000",Allianz Arena,Cüneyt Çakιr,Match Report,,2018
Group stage,6,Tue,2017-12-05,21:45 ,Olympiacos,1.0,0–2,1.5,Juventus,"29,567",Stadio Georgios Karaiskáki,David Fernández,Match Report,,2018
Group stage,6,Wed,2017-12-06,19:45 ,Tottenham,2.3,3–0,0.6,APOEL FC,"42,679",Wembley Stadium,Slavko Vinčić,Match Report,,2018
Group stage,6,Wed,2017-12-06,19:45 ,Porto,1.9,5–2,1.7,Monaco,"42,509",Estádio Do Dragão,Jonas Eriksson,Match Report,,2018
Group stage,6,Wed,2017-12-06,19:45 ,Liverpool,4.2,7–0,0.6,Spartak Moscow,"48,779",Anfield,Szymon Marciniak,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,RB Leipzig,3.0,1–2,1.8,Beşiktaş,"42,558",Red Bull Arena,Viktor Kassai,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,Feyenoord,0.7,2–1,1.3,Napoli,"36,500",Stadion Feijenoord,Michael Oliver,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,NK Maribor,0.8,1–1,1.7,Sevilla,"11,976",Ljudski vrt,Ovidiu Hațegan,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,Real Madrid,2.7,3–2,1.7,Dortmund,"73,323",Estadio Santiago Bernabéu,Pavel Královec,Match Report,,2018
Group stage,6,Wed,2017-12-06,21:45 ,Shakhtar,1.7,2–1,1.7,Manchester City,"33,154",Oblasny SportKomplex Metalist,Benoît Bastien,Match Report,,2018
Round of 16,,Tue,2018-02-13,20:45 ,Basel,1.0,0–4,0.7,Manchester City,"36,000",St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-13,20:45 ,Juventus,2.5,2–2,1.8,Tottenham,"41,232",Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-14,19:45 ,Porto,0.5,0–5,2.6,Liverpool,"47,718",Estádio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-14,20:45 ,Real Madrid,2.4,3–1,1.0,Paris S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-20,19:45 ,Chelsea,0.5,1–1,0.6,Barcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-20,20:45 ,Bayern Munich,4.9,5–0,0.3,Beşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-21,20:45 ,Sevilla,2.0,0–0,0.7,Manchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-21,21:45 ,Shakhtar,1.7,2–1,1.8,Roma,"35,124",Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-03-06,19:45 ,Liverpool,1.6,0–0,0.6,Porto,"48,768",Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won,2018
Round of 16,,Tue,2018-03-06,20:45 ,Paris S-G,1.1,1–2,2.2,Real Madrid,"46,585",Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won,2018
Round of 16,,Wed,2018-03-07,19:45 ,Tottenham,1.7,1–2,1.5,Juventus,"84,010",Wembley Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won,2018
Round of 16,,Wed,2018-03-07,19:45 ,Manchester City,1.6,1–2,0.6,Basel,"49,411",Etihad Stadium,Pavel Královec,Match Report,Leg 2 of 2; Manchester City won,2018
Round of 16,,Tue,2018-03-13,19:45 ,Manchester Utd,1.9,1–2,1.7,Sevilla,"74,909",Old Trafford,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won,2018
Round of 16,,Tue,2018-03-13,20:45 ,Roma,0.7,1–0,0.2,Shakhtar,"47,693",Stadio Olimpico,Alberto Undiano,Match Report,Leg 2 of 2; Roma won,2018
Round of 16,,Wed,2018-03-14,20:00 ,Beşiktaş,1.2,1–3,2.1,Bayern Munich,"36,885",Vodafone Arena,Michael Oliver,Match Report,Leg 2 of 2; Bayern Munich won,2018
Round of 16,,Wed,2018-03-14,20:45 ,Barcelona,1.0,3–0,0.7,Chelsea,"97,183",Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Barcelona won,2018
Quarter-finals,,Tue,2018-04-03,20:45 ,Sevilla,0.9,1–2,1.4,Bayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,Match Report,Leg 1 of 2,2018
Quarter-finals,,Tue,2018-04-03,20:45 ,Juventus,1.6,0–3,3.1,Real Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2,2018
Quarter-finals,,Wed,2018-04-04,19:45 ,Liverpool,1.6,3–0,0.6,Manchester City,"50,685",Anfield,Felix Brych,Match Report,Leg 1 of 2,2018
Quarter-finals,,Wed,2018-04-04,20:45 ,Barcelona,1.9,4–1,1.7,Roma,"90,106",Camp Nou,Danny Makkelie,Match Report,Leg 1 of 2,2018
Quarter-finals,,Tue,2018-04-10,19:45 ,Manchester City,1.2,1–2,0.8,Liverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won,2018
Quarter-finals,,Tue,2018-04-10,20:45 ,Roma,2.7,3–0,0.9,Barcelona,"56,580",Stadio Olimpico,Clément Turpin,Match Report,Leg 2 of 2; Roma won,2018
Quarter-finals,,Wed,2018-04-11,20:45 ,Bayern Munich,1.2,0–0,0.6,Sevilla,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won,2018
Quarter-finals,,Wed,2018-04-11,20:45 ,Real Madrid,2.7,1–3,2.7,Juventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won,2018
Semi-finals,,Tue,2018-04-24,19:45 ,Liverpool,3.7,5–2,1.9,Roma,"51,236",Anfield,Felix Brych,Match Report,Leg 1 of 2,2018
Semi-finals,,Wed,2018-04-25,20:45 ,Bayern Munich,1.9,1–2,0.7,Real Madrid,"70,000",Allianz Arena,Björn Kuipers,Match Report,Leg 1 of 2,2018
Semi-finals,,Tue,2018-05-01,20:45 ,Real Madrid,1.8,2–2,3.0,Bayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won,2018
Semi-finals,,Wed,2018-05-02,20:45 ,Roma,2.4,4–2,1.6,Liverpool,"61,889",Stadio Olimpico,Damir Skomina,Match Report,Leg 2 of 2; Liverpool won,2018
Final,,Sat,2018-05-26,21:45 ,Real Madrid,1.5,3–1,1.9,Liverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,Match Report,,2018
