Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Année édition
Ajax,19,6.0,11,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,1,1,8.3,7.5,0.12,+2.7,+2.5,2023
Atlético Madrid,22,6.0,4,95,34,35.8,15.83,5.67,0.04,0.12,18.5,4,0,2,9.5,7.8,0.08,-5.5,-3.8,2023
Barcelona,26,6.0,12,90,33,36.7,15.00,5.50,0.13,0.36,16.7,2,0,0,9.9,9.9,0.11,+2.1,+2.1,2023
Bayern Munich,24,10.0,21,167,72,43.1,16.70,7.20,0.12,0.28,18.2,8,1,1,19.4,18.6,0.11,+1.6,+1.4,2023
Benfica,24,10.0,25,133,48,36.1,13.30,4.80,0.15,0.42,17.3,6,5,5,19.2,15.3,0.12,+5.8,+4.7,2023
Celtic,22,6.0,3,82,29,35.4,13.67,4.83,0.04,0.10,18.1,1,0,1,9.2,8.4,0.10,-6.2,-5.4,2023
Chelsea,26,10.0,12,152,51,33.6,15.20,5.10,0.07,0.20,16.5,6,2,2,16.2,14.6,0.10,-4.2,-4.6,2023
Club Brugge,25,8.0,8,67,20,29.9,8.37,2.50,0.10,0.35,19.3,1,1,2,8.0,6.4,0.10,0.0,+0.6,2023
Dinamo Zagreb,20,6.0,4,55,20,36.4,9.17,3.33,0.07,0.20,20.3,2,0,0,4.2,4.2,0.08,-0.2,-0.2,2023
Dortmund,26,8.0,11,97,27,27.8,12.12,3.38,0.11,0.41,18.5,4,0,0,10.5,10.5,0.11,+0.5,+0.5,2023
Eint Frankfurt,22,8.0,7,75,26,34.7,9.37,3.25,0.08,0.23,18.1,2,1,1,8.0,7.3,0.10,-1.0,-1.3,2023
FC Copenhagen,25,6.0,1,54,16,29.6,9.00,2.67,0.02,0.06,17.8,3,0,0,4.8,4.8,0.09,-3.8,-3.8,2023
Inter,22,13.0,19,166,62,37.3,12.77,4.77,0.11,0.29,16.6,2,1,1,17.9,17.5,0.11,+1.1,+0.5,2023
Juventus,26,6.0,9,78,25,32.1,13.00,4.17,0.12,0.36,16.8,0,0,0,8.6,8.6,0.13,+0.4,+0.4,2023
Leverkusen,20,6.0,4,81,27,33.3,13.50,4.50,0.05,0.15,18.5,1,0,2,9.0,7.4,0.10,-5.0,-3.4,2023
Liverpool,25,8.0,19,126,55,43.7,15.75,6.87,0.14,0.33,16.0,4,1,1,14.7,13.9,0.11,+4.3,+4.1,2023
Maccabi Haifa,20,6.0,7,76,21,27.6,12.67,3.50,0.08,0.29,20.7,4,1,1,6.4,5.6,0.07,+0.6,+0.4,2023
Manchester City,23,13.0,31,196,85,43.4,15.08,6.54,0.15,0.34,17.2,4,2,5,26.5,22.6,0.12,+4.5,+6.4,2023
Marseille,19,6.0,8,79,23,29.1,13.17,3.83,0.09,0.30,19.0,4,1,1,8.6,7.9,0.10,-0.6,-0.9,2023
Milan,23,12.0,14,135,42,31.1,11.25,3.50,0.09,0.29,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,2023
Napoli,22,10.0,26,167,63,37.7,16.70,6.30,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12,+0.8,+2.9,2023
Paris S-G,21,8.0,15,99,41,41.4,12.38,5.12,0.14,0.34,17.6,8,1,1,10.8,10.0,0.10,+4.2,+4.0,2023
Porto,24,8.0,12,111,38,34.2,13.87,4.75,0.08,0.24,16.5,1,3,3,15.2,12.9,0.12,-3.2,-3.9,2023
Rangers,22,6.0,2,43,10,23.3,7.17,1.67,0.02,0.10,17.6,2,1,1,4.9,4.1,0.10,-2.9,-3.1,2023
RB Leipzig,22,8.0,13,88,34,38.6,11.00,4.25,0.15,0.38,15.8,3,0,0,11.7,11.7,0.13,+1.3,+1.3,2023
RB Salzburg,19,6.0,5,84,27,32.1,14.00,4.50,0.05,0.15,19.1,3,1,1,8.3,7.5,0.09,-3.3,-3.5,2023
Real Madrid,22,12.0,26,184,74,40.2,15.33,6.17,0.13,0.31,17.6,5,3,3,22.3,20.5,0.12,+3.7,+2.5,2023
Sevilla,24,6.0,6,68,24,35.3,11.33,4.00,0.09,0.25,17.5,2,0,0,5.4,5.4,0.08,+0.6,+0.6,2023
Shakhtar,20,6.0,8,45,15,33.3,7.50,2.50,0.18,0.53,19.9,1,0,0,3.7,3.7,0.08,+4.3,+4.3,2023
Sporting CP,25,6.0,8,45,21,46.7,7.50,3.50,0.18,0.38,18.5,1,0,0,3.8,3.8,0.09,+4.2,+4.2,2023
Tottenham,25,8.0,8,95,29,30.5,11.87,3.62,0.07,0.24,17.3,4,1,2,10.0,8.4,0.09,-2.0,-1.4,2023
Viktoria Plzeň,22,6.0,5,67,19,28.4,11.17,3.17,0.06,0.21,18.9,0,1,1,5.5,4.8,0.07,-0.5,-0.8,2023
Ajax,21,8.0,21,128,48,37.5,16.00,6.00,0.16,0.42,15.6,1,1,1,19.0,18.2,0.14,+2.0,+1.8,2022
Atalanta,21,6.0,12,82,31,37.8,13.67,5.17,0.15,0.39,18.0,3,0,0,10.2,10.2,0.13,+1.8,+1.8,2022
Atlético Madrid,22,10.0,9,95,25,26.3,9.50,2.50,0.08,0.32,17.9,4,1,1,12.2,11.4,0.13,-3.2,-3.4,2022
Barcelona,23,6.0,2,60,11,18.3,10.00,1.83,0.03,0.18,16.8,0,0,0,6.5,6.5,0.11,-4.5,-4.5,2022
Bayern Munich,24,10.0,30,186,66,35.5,18.60,6.60,0.15,0.41,18.4,9,3,4,26.3,23.3,0.13,+3.7,+3.7,2022
Benfica,24,10.0,13,92,34,37.0,9.20,3.40,0.13,0.35,16.5,2,1,1,11.8,11.0,0.13,+1.2,+1.0,2022
Beşiktaş,26,6.0,3,48,11,22.9,8.00,1.83,0.04,0.18,16.0,1,1,1,6.2,5.4,0.11,-3.2,-3.4,2022
Chelsea,24,10.3,21,166,54,32.5,16.06,5.23,0.11,0.35,17.2,8,2,2,19.0,17.4,0.11,+2.0,+1.6,2022
Club Brugge,21,6.0,5,61,26,42.6,10.17,4.33,0.08,0.19,16.6,3,0,0,6.1,6.1,0.10,-1.1,-1.1,2022
Dortmund,23,6.0,10,83,27,32.5,13.83,4.50,0.10,0.30,17.3,3,2,2,11.5,9.9,0.12,-1.5,-1.9,2022
Dynamo Kyiv,23,6.0,1,48,17,35.4,8.00,2.83,0.02,0.06,17.6,2,0,0,4.3,4.3,0.09,-3.3,-3.3,2022
Inter,22,8.0,9,133,38,28.6,16.62,4.75,0.07,0.24,16.2,4,0,0,12.8,12.8,0.11,-3.8,-3.8,2022
Juventus,28,8.0,11,102,34,33.3,12.75,4.25,0.09,0.26,17.6,1,2,2,13.3,11.7,0.12,-2.3,-2.7,2022
Lille,23,8.0,8,88,20,22.7,11.00,2.50,0.07,0.30,19.1,8,2,2,10.5,8.9,0.10,-2.5,-2.9,2022
Liverpool,28,13.0,28,222,79,35.6,17.08,6.08,0.12,0.34,18.0,6,1,2,27.3,25.8,0.12,+0.7,+1.2,2022
Malmö,21,6.0,1,36,7,19.4,6.00,1.17,0.03,0.14,21.3,1,0,0,1.6,1.6,0.05,-0.6,-0.6,2022
Manchester City,26,12.3,28,190,65,34.2,15.41,5.27,0.14,0.40,16.2,10,2,2,26.6,25.1,0.14,+1.4,+0.9,2022
Manchester Utd,31,8.0,12,87,40,46.0,10.87,5.00,0.14,0.30,17.7,5,0,0,9.4,9.4,0.11,+2.6,+2.6,2022
Milan,23,6.0,5,48,16,33.3,8.00,2.67,0.10,0.31,18.9,5,0,0,5.8,5.8,0.13,-0.8,-0.8,2022
Paris S-G,21,8.0,15,85,35,41.2,10.62,4.37,0.15,0.37,17.2,2,2,4,15.2,12.0,0.15,-0.2,+1.0,2022
Porto,22,6.0,4,64,17,26.6,10.67,2.83,0.05,0.18,16.5,0,1,1,8.0,7.2,0.11,-4.0,-4.2,2022
RB Leipzig,23,6.0,15,87,31,35.6,14.50,5.17,0.15,0.42,17.3,3,2,3,13.4,11.1,0.13,+1.6,+1.9,2022
RB Salzburg,21,8.0,10,84,34,40.5,10.50,4.25,0.08,0.21,21.3,6,3,5,12.3,8.4,0.10,-2.3,-1.4,2022
Real Madrid,25,13.7,28,179,66,36.9,13.10,4.83,0.14,0.38,18.0,9,3,3,21.7,19.3,0.11,+6.3,+5.7,2022
Sevilla,22,6.0,5,69,20,29.0,11.50,3.33,0.04,0.15,18.6,5,2,2,7.2,5.6,0.08,-2.2,-2.6,2022
Shakhtar,25,6.0,2,79,20,25.3,13.17,3.33,0.03,0.10,19.2,1,0,0,6.8,6.8,0.09,-4.8,-4.8,2022
Sheriff Tiraspol,19,6.0,7,54,21,38.9,9.00,3.50,0.13,0.33,21.0,3,0,0,4.4,4.4,0.08,+2.6,+2.6,2022
Sporting CP,27,8.0,14,75,30,40.0,9.37,3.75,0.16,0.40,17.0,0,2,3,12.2,9.8,0.13,+1.8,+2.2,2022
Villarreal,25,12.0,20,115,44,38.3,9.58,3.67,0.16,0.41,15.5,2,2,2,19.4,18.0,0.17,+0.6,0.0,2022
Wolfsburg,21,6.0,5,42,11,26.2,7.00,1.83,0.12,0.45,18.2,3,0,0,4.8,4.8,0.12,+0.2,+0.2,2022
Young Boys,24,6.0,7,82,25,30.5,13.67,4.17,0.09,0.28,18.8,0,0,0,7.4,7.4,0.09,-0.4,-0.4,2022
Zenit,21,6.0,9,79,25,31.6,13.17,4.17,0.10,0.32,17.9,3,1,2,9.8,8.3,0.11,-0.8,-0.3,2022
Ajax,21,6.0,7,69,28,40.6,11.50,4.67,0.09,0.21,19.3,2,1,1,8.1,7.3,0.11,-1.1,-1.3,2021
Atalanta,25,8.0,11,91,41,45.1,11.37,5.12,0.12,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7,2021
Atlético Madrid,20,8.0,7,95,31,32.6,11.87,3.87,0.07,0.23,18.1,3,0,0,9.2,9.2,0.10,-2.2,-2.2,2021
Barcelona,27,8.0,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4,2021
Başakşehir,21,6.0,7,64,22,34.4,10.67,3.67,0.11,0.32,19.8,6,0,0,5.2,5.2,0.08,+1.8,+1.8,2021
Bayern Munich,26,10.0,25,162,57,35.2,16.20,5.70,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12,+3.2,+2.6,2021
Chelsea,24,13.0,23,140,52,37.1,10.77,4.00,0.13,0.35,16.5,2,5,6,26.0,21.3,0.16,-3.0,-3.3,2021
Club Brugge,22,6.0,8,54,16,29.6,9.00,2.67,0.11,0.38,17.2,2,2,2,8.5,6.9,0.15,-0.5,-0.9,2021
Dortmund,26,10.0,19,118,49,41.5,11.80,4.90,0.14,0.35,17.9,5,2,2,14.4,12.8,0.11,+4.6,+4.2,2021
Dynamo Kyiv,22,6.0,4,43,21,48.8,7.17,3.50,0.07,0.14,17.3,2,1,1,6.3,5.6,0.13,-2.3,-2.6,2021
Ferencváros,20,6.0,5,61,14,23.0,10.17,2.33,0.07,0.29,20.5,1,1,1,5.6,4.8,0.08,-0.6,-0.8,2021
Inter,21,6.0,7,81,20,24.7,13.50,3.33,0.09,0.35,15.4,5,0,0,8.3,8.3,0.11,-1.3,-1.3,2021
Juventus,22,8.3,17,122,48,39.3,14.64,5.76,0.12,0.31,17.7,3,2,2,15.8,14.3,0.12,+1.2,+0.7,2021
Krasnodar,23,6.0,6,65,17,26.2,10.83,2.83,0.08,0.29,18.5,5,1,1,6.4,5.6,0.09,-0.4,-0.6,2021
Lazio,25,8.0,12,89,35,39.3,11.12,4.37,0.10,0.26,18.1,3,3,3,13.1,10.7,0.12,-1.1,-1.7,2021
Liverpool,29,10.0,14,109,43,39.4,10.90,4.30,0.12,0.30,16.2,1,1,1,14.7,14.0,0.13,-0.7,-1.0,2021
Loko Moscow,22,6.0,5,39,15,38.5,6.50,2.50,0.08,0.20,18.8,1,2,2,4.9,3.3,0.08,+0.1,-0.3,2021
M'Gladbach,21,8.0,15,73,31,42.5,9.12,3.87,0.18,0.42,17.1,5,2,2,11.6,10.0,0.14,+3.4,+3.0,2021
Manchester City,25,13.0,24,167,71,42.5,12.85,5.46,0.13,0.31,17.1,7,2,2,22.5,21.0,0.13,+1.5,+1.0,2021
Manchester Utd,23,6.0,14,82,32,39.0,13.67,5.33,0.12,0.31,18.8,4,4,4,11.5,8.3,0.10,+2.5,+1.7,2021
Marseille,20,6.0,2,47,11,23.4,7.83,1.83,0.00,0.00,21.0,1,2,3,5.9,3.5,0.08,-3.9,-3.5,2021
Midtjylland,22,6.0,4,61,21,34.4,10.17,3.50,0.03,0.10,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5,2021
Olympiacos,21,6.0,2,44,10,22.7,7.33,1.67,0.05,0.20,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1,2021
Paris S-G,23,12.0,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,2021
Porto,26,10.3,15,79,35,44.3,7.65,3.39,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,+2.5,+1.6,2021
RB Leipzig,20,8.0,11,99,30,30.3,12.38,3.75,0.10,0.33,17.0,0,1,1,10.6,9.8,0.10,+0.4,+0.2,2021
RB Salzburg,19,6.0,9,103,39,37.9,17.17,6.50,0.09,0.23,18.0,5,0,0,11.2,11.2,0.11,-2.2,-2.2,2021
Real Madrid,25,12.0,18,161,61,37.9,13.42,5.08,0.10,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6,2021
Rennes,26,6.0,3,71,25,35.2,11.83,4.17,0.01,0.04,18.3,3,2,2,7.6,6.0,0.09,-4.6,-5.0,2021
Sevilla,25,8.0,13,128,49,38.3,16.00,6.12,0.09,0.24,17.6,6,1,1,12.1,11.3,0.09,+0.9,+0.7,2021
Shakhtar,23,6.0,4,41,17,41.5,6.83,2.83,0.10,0.24,20.3,1,0,0,4.7,4.7,0.12,-0.7,-0.7,2021
